CODER,SOURCE1,SOURCE2,VERIFIED,NAME,ORG,CORE_ORG,CHILD_ORG/PROJECT,YEAR,POSITION,POSITION_SIMPLE,FIRST_NAME,LAST_NAME,MIDDLE_NAME,HONORIFICS,PREFIX,SUFFIX,EIN,MULTIPLE,UUID,CRP_CODE,CAT1,CAT2,fossil_fuel
KEN,LINKEDIN,ORG WEBSITE,YES,GARY D LEFF,"MILES AND POINTS CONSULTING, LLC",FALSE,VIEW FROM THE WING BLOG,2018,Author,OTHER,GARY,LEFF,D,,,,,TRUE,83db119e-9f0d-4ac2-808a-faa1891c11da,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE, AND REAL ESTATE",FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,DANIEL J MAHONEY,NATIONAL REVIEW INSTITUTE,TRUE,,2018,Trustee,BOARD,DANIEL,MAHONEY,J,,,,133649537,TRUE,4d7c85b1-4e87-48cf-9cda-dd588edd0fd8,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,Nexis Uni Zoom People Information,ORG WEBSITE,YES,DANIEL J MAHONEY,JOHN ADAMS CENTER,FALSE,,2018,Board Member,BOARD,DANIEL,MAHONEY,J,,,,,TRUE,4d7c85b1-4e87-48cf-9cda-dd588edd0fd8,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,Nexis Uni Zoom People Information,ORG WEBSITE,YES,DANIEL J MAHONEY,ERIC VOEGELIN SOCIETY,FALSE,VOEGELIN VIEW ,2018,Board Member,BOARD,DANIEL,MAHONEY,J,,,,,TRUE,4d7c85b1-4e87-48cf-9cda-dd588edd0fd8,X4000,NON-PROFITS,OTHER,FALSE
KEN,GUIDESTAR,ORG WEBSITE,YES,DANIEL J MAHONEY,ALEKSANDR SOLZHENITSYN CENTER,FALSE,,2018,Secretary/Board Member,BOARD,DANIEL,MAHONEY,J,,,,,TRUE,4d7c85b1-4e87-48cf-9cda-dd588edd0fd8,X4000,NON-PROFITS,OTHER,FALSE
KEN,Nexis Uni Zoom People Information,ORG WEBSITE,YES,DANIEL J MAHONEY,ASSUMPTION UNIVERSITY,FALSE,,2018,Professor,OTHER,DANIEL,MAHONEY,J,,,,,TRUE,4d7c85b1-4e87-48cf-9cda-dd588edd0fd8,H5100,SCHOOLS & COLLEGES,OTHER,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,JOHN BUSER,NATIONAL REVIEW INSTITUTE,TRUE,,2018,Trustee,BOARD,JOHN,BUSER,,,,,133649537,FALSE,2c5a54e7-2a0c-4ff6-9705-a63f2cdb3b1a,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,PETER J TRAVERS,NATIONAL REVIEW INSTITUTE,TRUE,,2018,Chair,BOARD,PETER,TRAVERS,J,,,,133649537,FALSE,8ff1be3f-8cd5-453b-a47b-430578112e09,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,RICHARD M DEVOS JR,NATIONAL REVIEW INSTITUTE,TRUE,,2018,Trustee,BOARD,RICHARD ,DEVOS,M,,,JR,133649537,TRUE,9dfd99e3-658f-45b9-9f0f-592765c0604e,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,LINKEDIN,,YES,RICHARD M DEVOS JR,RDV CORPORATION,FALSE,,2018,Chair,BOARD,RICHARD ,DEVOS,M,,,JR,,TRUE,9dfd99e3-658f-45b9-9f0f-592765c0604e,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE",FALSE
KEN,LINKEDIN,,YES,RICHARD M DEVOS JR,FEDERAL AVIATION COMMITTEE,FALSE,,2018,Advisory Council Member,OTHER,RICHARD ,DEVOS,M,,,JR,,TRUE,9dfd99e3-658f-45b9-9f0f-592765c0604e,X3000,CIVIL SERVANT/PUBLIC EMPLOYEE,OTHER,FALSE
KEN,LINKEDIN,,YES,RICHARD M DEVOS JR,GRAND ACTION COMMITTEE,FALSE,,2018,Co-chair,BOARD,RICHARD ,DEVOS,M,,,JR,,TRUE,9dfd99e3-658f-45b9-9f0f-592765c0604e,F4100,REAL ESTATE DEVELOPERS & SUBDIVIDERS,"FINANCE, INSURANCE, AND REAL ESTATE",FALSE
KEN,LINKEDIN,ORG WEBSITE,YES,RICHARD M DEVOS JR,WEST MICHIGAN AVIATION ACADEMY,FALSE,,2018,Founder/Chair,BOARD,RICHARD ,DEVOS,M,,,JR,,TRUE,9dfd99e3-658f-45b9-9f0f-592765c0604e,H5100,SCHOOLS & COLLEGES,OTHER,FALSE
KEN,LINKEDIN,,YES,RICHARD M DEVOS JR,SPECTRUM HEALTH SYSTEMS INC,FALSE,,2018,Chair,BOARD,RICHARD ,DEVOS,M,,,JR,,TRUE,9dfd99e3-658f-45b9-9f0f-592765c0604e,H5000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,LINKEDIN,,YES,RICHARD M DEVOS JR,THE GLOBAL LEADERSHIP NETWORK,FALSE,,2018,Chair,BOARD,RICHARD ,DEVOS,M,,,JR,,TRUE,9dfd99e3-658f-45b9-9f0f-592765c0604e,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,LINKEDIN,,YES,RICHARD M DEVOS JR,WINDQUEST GROUP,FALSE,,2018,President,BOARD,RICHARD ,DEVOS,M,,,JR,133649537,TRUE,9dfd99e3-658f-45b9-9f0f-592765c0604e,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE",FALSE
KEN,GUIDESTAR,LINKEDIN,YES,RICHARD M DEVOS JR,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,TRUE,,2018,Trustee,BOARD,RICHARD ,DEVOS,M,,,JR,530218495,TRUE,9dfd99e3-658f-45b9-9f0f-592765c0604e,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,ORG WEBSITE,YES,RICHARD M DEVOS JR,DICK AND BETSY DEVOS FAMILY FOUNDATION,TRUE,,2018,President,BOARD,RICHARD ,DEVOS,M,,,JR,530218495,TRUE,9dfd99e3-658f-45b9-9f0f-592765c0604e,X4100,NON-PROFIT FOUNDATIONS,OTHER,FALSE
KEN,GUIDESTAR,,YES,KAREN BUCHWALD WRIGHT,NATIONAL REVIEW INSTITUTE,TRUE,,2018,Trustee,BOARD,KAREN,WRIGHT,BUCHWALD,,,,133649537,TRUE,ff8c0c7b-8727-475e-89de-0d74102085c5,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,Nexis Uni Zoom People Information,ORG WEBSITE,YES,KAREN BUCHWALD WRIGHT,ARIEL CORPORATION,FALSE,,2018,President/Chief Executive Officer,"BOARD, MANAGEMENT",KAREN,WRIGHT,BUCHWALD,,,,,TRUE,ff8c0c7b-8727-475e-89de-0d74102085c5,M2000,HEAVY INDUSTRIAL MANUFACTURING,MANUFACTURING & DISTRIBUTING ,FALSE
KEN,GUIDESTAR,ORG WEBSITE,YES,KAREN BUCHWALD WRIGHT,THE ARIEL FOUNDATION,FALSE,,2018,Supervising Director/Chair/President,"BOARD, MANAGEMENT",KAREN,WRIGHT,BUCHWALD,,,,,TRUE,ff8c0c7b-8727-475e-89de-0d74102085c5,X4100,NON-PROFIT FOUNDATIONS,OTHER,FALSE
KEN,GUIDESTAR,Nexis Uni Zoom People Information,YES,LINDA MAYS MCCAUL,TEXAS PUBLIC POLICY FOUNDATION,TRUE,,2018,Board Member,BOARD,LINDA,MCCAUL,MAYS,,,,742524057,TRUE,05a71337-2a14-4932-a2f9-b537da16be1a,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,Nexis Uni Zoom People Information,YES,LINDA MAYS MCCAUL,MAYS FAMILY FOUNDATION,FALSE,,2018,Board Member,BOARD,LINDA,MCCAUL,MAYS,,,,,TRUE,05a71337-2a14-4932-a2f9-b537da16be1a,X4100,NON-PROFIT FOUNDATIONS,OTHER,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,STACY HOCK,TEXAS PUBLIC POLICY FOUNDATION,TRUE,,2018,Board Member,BOARD,STACY,HOCK,,,,,742524057,TRUE,0d093556-f324-445e-9896-d2bd187a4ac8,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,LINKEDIN,ORG WEBSITE,YES,STACY HOCK,THE UNIVERSITY OF TEXAS AT AUSTIN,FALSE,RED MCCOMBS SCHOOL OF BUSINESS,2018,Advisory Board Member,BOARD,STACY,HOCK,,,,,,TRUE,0d093556-f324-445e-9896-d2bd187a4ac8,H5100,SCHOOLS & COLLEGES,OTHER,FALSE
KEN,LINKEDIN,ORG WEBSITE,YES,STACY HOCK,BLANTON MUSEUM OF ART,FALSE,,2018,National Leadership Board Member,BOARD,STACY,HOCK,,,,,,TRUE,0d093556-f324-445e-9896-d2bd187a4ac8,X4200,"MUSEUMS, ART GALLERIES, LIBRARIES, ETC. ",NON-PROFIT INSTITUTIONS,FALSE
KEN,LINKEDIN,Nexis Uni Zoom People Information,YES,STACY HOCK,AMINEX THERAPEUTICS,FALSE,,2018,Board Member,BOARD,STACY,HOCK,,,,,,TRUE,0d093556-f324-445e-9896-d2bd187a4ac8,H4500,BIOTECH PRODUCTS & RESEARCH,PHARMACEUTICALS/HEALTH PRODUCTS,FALSE
KEN,LINKEDIN,ORG WEBSITE,YES,STACY HOCK,AFRICAN DREAM INITIATIVE,FALSE,,2018,Board Member,BOARD,STACY,HOCK,,,,,,TRUE,0d093556-f324-445e-9896-d2bd187a4ac8,X4000,NON-PROFITS,OTHER,FALSE
KEN,LINKEDIN,,YES,STACY HOCK,TEXANS FOR EDUCATION OPPORTUNITY,FALSE,,2018,Chair,BOARD,STACY,HOCK,,,,,,TRUE,0d093556-f324-445e-9896-d2bd187a4ac8,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,Nexis Uni Zoom People Information,YES,KENNETH A HAAPALA,SCIENCE AND ENVIRONMENTAL POLICY PROJECT,TRUE,,2018,President,BOARD,KENNETH,HAAPALA,A,,,,541645372,FALSE,e3e7583e-0ff1-47f6-9d75-96a24ece110d,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,Nexis Uni Zoom People Information,YES,DONNA FITZPATRICK BETHELL,SCIENCE AND ENVIRONMENTAL POLICY PROJECT,TRUE,,2018,Treasurer/Secretary,BOARD,DONNA,BETHELL,FITZPATRICK,,,,541645372,FALSE,24561eb4-cb2e-4e35-b564-f82a69301e6c,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,THOMAS P SHEAHEN,SCIENCE AND ENVIRONMENTAL POLICY PROJECT,TRUE,,2018,Chair,BOARD,THOMAS,SHEAHEN,P,,,,541645372,FALSE,4d078aee-6c89-48b3-b6d2-bea818de3f57,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,,YES,IVAN BEKEY,SCIENCE AND ENVIRONMENTAL POLICY PROJECT,TRUE,,2018,Executive Vice President,BOARD,IVAN,BEKEY,,,,,541645372,FALSE,4f490995-f3fd-4a96-9d14-272dfeac1eb1,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,,YES,CRAIG D IDSO PHD,SCIENCE AND ENVIRONMENTAL POLICY PROJECT,TRUE,,2018,Member,BOARD,CRAIG,IDSO,D,,,PHD,541645372,TRUE,aadcb061-709d-43ec-9330-d0112d855537,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,ORG WEBSITE,ORG WEBSITE,YES,CRAIG D IDSO PHD,CO2 COALITION,FALSE,,2018,Member,OTHER,CRAIG,IDSO,D,,,PHD,860902777,TRUE,aadcb061-709d-43ec-9330-d0112d855537,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,LINKEDIN,YES,CRAIG D IDSO PHD,CENTER FOR THE STUDY OF CARBON DIOXIDE AND GLOBAL CHANGE,TRUE,,2018,Treasurer/Chair/Founder,BOARD,CRAIG,IDSO,D,,,PHD,860902777,TRUE,aadcb061-709d-43ec-9330-d0112d855537,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,ORG WEBSITE,ORG WEBSITE,YES,CRAIG D IDSO PHD,COMMITTEE FOR A CONSTRUCTIVE TOMORROW,FALSE,,2018,Advisory Board Member,BOARD,CRAIG,IDSO,D,,,PHD,860902777,TRUE,aadcb061-709d-43ec-9330-d0112d855537,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,,YES,WILLIE SOON,SCIENCE AND ENVIRONMENTAL POLICY PROJECT,TRUE,,2018,Member,BOARD,WILLIE,SOON,,,,,541645372,FALSE,0cf6f435-aa3e-4399-a8aa-7e747a0483b2,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,ORG WEBSITE,Nexis Uni Zoom People Information,YES,WILLIE SOON,HARVARD-SMITHSONIAN CENTER FOR ASTROPHYSICS,FALSE,,2018,Astrophysicist,OTHER,WILLIE,SOON,,,,,541645372,FALSE,0cf6f435-aa3e-4399-a8aa-7e747a0483b2,H5000,EDUCATION,OTHER,FALSE
KEN,GUIDESTAR,,YES,DAVID R LEGATES,SCIENCE AND ENVIRONMENTAL POLICY PROJECT,TRUE,,2018,Member,OTHER,DAVID,LEGATES,R,,,,541645372,FALSE,cf4bc377-2f13-4268-aad6-451743b01574,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,ORG WEBSITE,ORG WEBSITE,YES,DAVID R LEGATES,UNIVERSITY OF DELAWARE,FALSE,,2018,Professor,OTHER,DAVID,LEGATES,R,,,,541645372,FALSE,cf4bc377-2f13-4268-aad6-451743b01574,H5100,SCHOOLS & COLLEGES,OTHER,FALSE
KEN,GUIDESTAR,,YES,HOWARD C HAYDEN,SCIENCE AND ENVIRONMENTAL POLICY PROJECT,TRUE,,2018,Member,OTHER,HOWARD,HAYDEN,C,,,,541645372,TRUE,9d1bfdb7-861e-4f7b-8e66-e6a7b744fee7,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,,YES,KAREN KERRIGAN,AMERICANS FOR TAX REFORM,TRUE,,2018,Secretary,BOARD,KAREN,KERRIGAN,,,,,521403587,TRUE,2373899b-e4e1-43a2-a166-f667aa84591d,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,LINKEDIN,YES,KAREN KERRIGAN,SMALL BUSINESS AND ENTREPRENEURSHIP COUNCIL,FALSE,,2018,President/Chief Executive Officer,"BOARD, MANAGEMENT",KAREN,KERRIGAN,,,,,363756240,TRUE,2373899b-e4e1-43a2-a166-f667aa84591d,G1300,PRO-BUSINESS ASSOCIATION,MISC BUSINESS,FALSE
KEN,Nexis Uni Zoom People Information,LINKEDIN,YES,KAREN KERRIGAN,CENTER FOR INTERNATIONAL PRIVATE ENTERPRISE INC ,FALSE,,2018,Board Member,BOARD,KAREN,KERRIGAN,,,,,363756240,TRUE,2373899b-e4e1-43a2-a166-f667aa84591d,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,LINKEDIN,,YES,KAREN KERRIGAN,WORLD ENTREPRENEURSHIP FORUM,FALSE,,2018,Founding Member,"BOARD, MANAGEMENT",KAREN,KERRIGAN,,,,,363756240,TRUE,2373899b-e4e1-43a2-a166-f667aa84591d,X8000,INTERNATIONAL ASSOCIATIONS,OTHER,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,GROVER G NORQUIST,AMERICANS FOR TAX REFORM,TRUE,,2018,Founder/President,"BOARD, MANAGEMENT",GROVER,NORQUIST,G,,,,521403587,TRUE,b92f9bfa-d790-487a-8c9a-717d6e3d9bb0,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,CORE ORG WEBSITE,GUIDESTAR,YES,GROVER G NORQUIST,PARENTAL RIGHTS ORGANIZATION,FALSE,,2018,Board Member,BOARD,GROVER,NORQUIST,G,,,,521403587,TRUE,b92f9bfa-d790-487a-8c9a-717d6e3d9bb0,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,CORE ORG WEBSITE,GUIDESTAR,YES,GROVER G NORQUIST,PARENTAL RIGHTS FOUNDATION,FALSE,,2018,Board Member,BOARD,GROVER,NORQUIST,G,,,,521403587,TRUE,b92f9bfa-d790-487a-8c9a-717d6e3d9bb0,X4100,NON-PROFIT FOUNDATIONS,OTHER,FALSE
KEN,CORE ORG WEBSITE,ORG WEBSITE,YES,GROVER G NORQUIST,CENTER FOR THE NATIONAL INTEREST,FALSE,,2018,Board Member,BOARD,GROVER,NORQUIST,G,,,,521403587,TRUE,b92f9bfa-d790-487a-8c9a-717d6e3d9bb0,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,CORE ORG WEBSITE,ORG WEBSITE,YES,GROVER G NORQUIST,AMERICAN SOCIETY OF COMPETITIVENESS,FALSE,,2018,President,BOARD,GROVER,NORQUIST,G,,,,521403587,TRUE,b92f9bfa-d790-487a-8c9a-717d6e3d9bb0,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,CORE ORG WEBSITE,ORG WEBSITE,YES,GROVER G NORQUIST,AMERICAN SPECTATOR FOUNDATION,FALSE,AMERICAN SPECTATOR,2018,Contributing Editor,OTHER,GROVER,NORQUIST,G,,,,521403587,TRUE,b92f9bfa-d790-487a-8c9a-717d6e3d9bb0,C1100,"BOOK, NEWSPAPER & PERIODICAL PUBLISHING",COMMUNICATIONS/ELECTRONICS,FALSE
KEN,CORE ORG WEBSITE,GUIDESTAR,YES,GROVER G NORQUIST,NATIONAL RIFLE ASSOCIATION OF AMERICA,FALSE,,2018,Director,BOARD,GROVER,NORQUIST,G,,,,521403587,TRUE,b92f9bfa-d790-487a-8c9a-717d6e3d9bb0,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,,YES,GROVER G NORQUIST,SMALL BUSINESS AND ENTREPRENEURSHIP COUNCIL,FALSE,,2018,Director,BOARD,GRAVER,NORQUIST,,,,,363756240,TRUE,b92f9bfa-d790-487a-8c9a-717d6e3d9bb0,G1300,PRO-BUSINESS ASSOCIATION,MISC BUSINESS,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,EDWARD PETER STRINGHAM,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,TRUE,,2018,President/Director of Research and Education,"BOARD, MANAGEMENT",EDWARD,STRINGHAM,PETER,,,,42121305,FALSE,c87cb4c3-3528-4ad2-8775-9c1e680065ae,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,CORE ORG WEBSITE,Nexis Uni Zoom People Information,YES,EDWARD PETER STRINGHAM,TRINITY COLLEGE,FALSE,,2018,Professor,OTHER,EDWARD,STRINGHAM,PETER,,,,42121305,FALSE,c87cb4c3-3528-4ad2-8775-9c1e680065ae,H5100,SCHOOLS & COLLEGES,OTHER,FALSE
KEN,GUIDESTAR,LINKEDIN,YES,DAVID C MICHAELS,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,TRUE,,2018,Chief Financial Officer/Comptroller,"MANAGEMENT, OTEHR",DAVID,MICHAELS,C,,,,42121305,TRUE,d1f10e3e-5a57-40f0-9bff-a974055b7fad,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,LINKEDIN,,YES,DAVID MICHAELS,MECHANICAL TECHNOLOGY INC,FALSE,,2018,Board Member,BOARD,DAVID,MICHAELS,C,,,,42121305,TRUE,d1f10e3e-5a57-40f0-9bff-a974055b7fad,B3400,"PLUMBING, HEATING & AIR CONDITIONING",CONSTRUCTION,FALSE
KEN,LINKEDIN,,YES,DAVID MICHAELS,IVERSON GENETICS,FALSE,,2018,Board Member,BOARD,DAVID,MICHAELS,C,,,,42121305,TRUE,d1f10e3e-5a57-40f0-9bff-a974055b7fad,H3400,MEDICAL LABORATORIES,HEALTH,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,JONATHAN E SYLBERT,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,TRUE,,2018,Chief Operating Officer,MANAGEMENT,JONATHAN,SYLBERT,E,,,,42121305,FALSE,de4badd6-186b-4c22-9912-34c78e475c37,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,LAURIE B PSHENISHNY,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,TRUE,,2018,Assistant Comptroller,MANAGEMENT,LAURIE,PSHENISHNY,B,,,,42121305,FALSE,53c17eb3-696a-4462-8cf2-268589ddc08c,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,PETER C FARRELL PHD,REASON FOUNDATION,TRUE,,2018,Trustee,BOARD,PETER,FARRELL,C,,,PHD,953298239,TRUE,80727c77-c5d7-4d07-8aab-976626d92955,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
