GRANTMAKER,RECIPIENT,value,interlock
HERTOG FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
HOWARD CHARITABLE FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
J. P. HUMPHREYS FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,136992.056146,True
J.M. KAPLAN FUND,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
JAQUELIN HUME FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
JEAN PERKINS FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
JOHN TEMPLETON FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,3305373.706849,True
JOHN WILLIAM POPE FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,60531.872702,False
KERN FAMILY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,14924217.37669,False
KORET FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
KOVNER FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
KRIEBLE FOUNDATION THE,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
LAKESIDE FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
LAURA AND JOHN ARNOLD FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
"LILLIAN S. WELLS FOUNDATION, INC.",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
LILLY ENDOWMENT INC.,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
LYNDE AND HARRY BRADLEY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,2582249.23414,False
M.J. MURDOCK CHARITABLE TRUST,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,976789.16583,False
MALONE FAMILY FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
"MARCUS FOUNDATION, INC. The",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
MERCER FAMILY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
"NOBLE RESEARCH INSTITUTE, LLC",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,20000.0,False
ORANGE COUNTY COMMUNITY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
ORANGE CRIMSON FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
PIERRE F. AND ENID GOODRICH FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,450367.98601,False
PROMETHEUS FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
RICHARD AND BARBARA GABY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,424523.63321,False
RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
ROBERT AND ARDIS JAMES FOUNDATION INC,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
ROBERTS FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
ROE FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,47392.32587,True
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
"S.D. BECHTEL, JR. FOUNDATION",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
SAN FRANCISCO FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
SCAIFE FAMILY FOUNDATIONS,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,1330953.54252,True
SEARLE FREEDOM TRUST,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,1031083.08424,False
SILICON VALLEY COMMUNITY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
SMITH RICHARDSON FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
SORENSON LEGACY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
STARR FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
SUSQUEHANNA FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
THOMAS W SMITH FOUNDATION INC,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
"TRIAD FOUNDATION, INC.",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
TULLY AND ELISE FRIEDMAN FUND,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
WALTON FAMILY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
WESTROCK FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
WILLIAM AND FLORA HEWLETT FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
"WILLIAM E. SIMON FOUNDATION, INC.",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,1213147.209758,False
WILLIAM H. DONNER FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,24242.42424,False
"WILLIAM K. BOWES, JR. FOUNDATION",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
ADOLPH COORS FOUNDATION,AMERICA'S FUTURE FOUNDATION,31813.703540000002,False
AMBROSE MONELL FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
ANNENBERG FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
ANSCHUTZ FOUNDATION The,AMERICA'S FUTURE FOUNDATION,237586.571653,False
ARMSTRONG FOUNDATION,AMERICA'S FUTURE FOUNDATION,77240.474579,False
ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
BETH AND RAVENEL CURRY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
BILL AND MELINDA GATES FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
BODMAN FOUNDATIONS,AMERICA'S FUTURE FOUNDATION,0.0,False
BRADLEY IMPACT FUND,AMERICA'S FUTURE FOUNDATION,0.0,False
"BRADY EDUCATION FOUNDATION, INC.",AMERICA'S FUTURE FOUNDATION,0.0,False
CHARLES KOCH INSTITUTE AND FOUNDATION,AMERICA'S FUTURE FOUNDATION,160795.498811,False
CHASE FOUNDATION OF VIRGINIA,AMERICA'S FUTURE FOUNDATION,15970.315399,False
CLAWS FOUNDATION,AMERICA'S FUTURE FOUNDATION,42975.11356,False
"COVENANT FOUNDATION, INC.",AMERICA'S FUTURE FOUNDATION,0.0,False
DANIELS FUND,AMERICA'S FUTURE FOUNDATION,0.0,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
DAVIS FAMILY FOUNDATIONS,AMERICA'S FUTURE FOUNDATION,375032.5208,False
DEVOS FAMILY FOUNDATIONS,AMERICA'S FUTURE FOUNDATION,0.0,False
DONORS TRUST & DONORS CAPITAL FUND,AMERICA'S FUTURE FOUNDATION,1381192.3885351,True
DUNN FOUNDATION THE,AMERICA'S FUTURE FOUNDATION,0.0,False
E. L. CRAIG FOUNDATION,AMERICA'S FUTURE FOUNDATION,54531.74084,False
ED UIHLEIN FAMILY FOUNDATION,AMERICA'S FUTURE FOUNDATION,53657.475529999996,False
EWING MARION KAUFFMAN FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
EXXONMOBIL FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
"F. M. KIRBY FOUNDATION, INC.",AMERICA'S FUTURE FOUNDATION,462092.49399,False
FRED MAYTAG FAMILY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
"GALASHIELS FUND, LTD",AMERICA'S FUTURE FOUNDATION,0.0,False
GLEASON FAMILY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
GREATER HOUSTON COMMUNITY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
GROVER HERMANN FOUNDATION The,AMERICA'S FUTURE FOUNDATION,0.0,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,AMERICA'S FUTURE FOUNDATION,0.0,False
HERRICK FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
HERTOG FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
HOWARD CHARITABLE FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
J. P. HUMPHREYS FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
J.M. KAPLAN FUND,AMERICA'S FUTURE FOUNDATION,0.0,False
JAQUELIN HUME FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
JEAN PERKINS FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
JOHN TEMPLETON FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
JOHN WILLIAM POPE FOUNDATION,AMERICA'S FUTURE FOUNDATION,32599.203751,True
KERN FAMILY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
KORET FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
KOVNER FOUNDATION The,AMERICA'S FUTURE FOUNDATION,0.0,False
KRIEBLE FOUNDATION THE,AMERICA'S FUTURE FOUNDATION,0.0,False
LAKESIDE FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
LAURA AND JOHN ARNOLD FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
"LILLIAN S. WELLS FOUNDATION, INC.",AMERICA'S FUTURE FOUNDATION,0.0,False
LILLY ENDOWMENT INC.,AMERICA'S FUTURE FOUNDATION,0.0,False
LYNDE AND HARRY BRADLEY FOUNDATION,AMERICA'S FUTURE FOUNDATION,176920.77381,True
M.J. MURDOCK CHARITABLE TRUST,AMERICA'S FUTURE FOUNDATION,0.0,False
MALONE FAMILY FOUNDATION The,AMERICA'S FUTURE FOUNDATION,0.0,False
"MARCUS FOUNDATION, INC. The",AMERICA'S FUTURE FOUNDATION,0.0,False
MERCER FAMILY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
"NOBLE RESEARCH INSTITUTE, LLC",AMERICA'S FUTURE FOUNDATION,0.0,False
ORANGE COUNTY COMMUNITY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
ORANGE CRIMSON FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
PIERRE F. AND ENID GOODRICH FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
PROMETHEUS FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
RICHARD AND BARBARA GABY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,AMERICA'S FUTURE FOUNDATION,0.0,False
ROBERT AND ARDIS JAMES FOUNDATION INC,AMERICA'S FUTURE FOUNDATION,0.0,False
ROBERTS FOUNDATION The,AMERICA'S FUTURE FOUNDATION,0.0,False
ROE FOUNDATION The,AMERICA'S FUTURE FOUNDATION,104894.956522,True
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
"S.D. BECHTEL, JR. FOUNDATION",AMERICA'S FUTURE FOUNDATION,0.0,False
SAN FRANCISCO FOUNDATION The,AMERICA'S FUTURE FOUNDATION,0.0,False
SCAIFE FAMILY FOUNDATIONS,AMERICA'S FUTURE FOUNDATION,1026352.16916,False
SEARLE FREEDOM TRUST,AMERICA'S FUTURE FOUNDATION,74015.74803,False
SILICON VALLEY COMMUNITY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
SMITH RICHARDSON FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
SORENSON LEGACY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
STARR FOUNDATION The,AMERICA'S FUTURE FOUNDATION,0.0,False
SUSQUEHANNA FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
THOMAS W SMITH FOUNDATION INC,AMERICA'S FUTURE FOUNDATION,0.0,False
"TRIAD FOUNDATION, INC.",AMERICA'S FUTURE FOUNDATION,16708.241623,False
TULLY AND ELISE FRIEDMAN FUND,AMERICA'S FUTURE FOUNDATION,0.0,False
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",AMERICA'S FUTURE FOUNDATION,0.0,False
WALTON FAMILY FOUNDATION,AMERICA'S FUTURE FOUNDATION,0.0,False
WESTROCK FOUNDATION The,AMERICA'S FUTURE FOUNDATION,0.0,False
WILLIAM AND FLORA HEWLETT FOUNDATION The,AMERICA'S FUTURE FOUNDATION,0.0,False
"WILLIAM E. SIMON FOUNDATION, INC.",AMERICA'S FUTURE FOUNDATION,0.0,False
WILLIAM H. DONNER FOUNDATION The,AMERICA'S FUTURE FOUNDATION,265738.609515,False
"WILLIAM K. BOWES, JR. FOUNDATION",AMERICA'S FUTURE FOUNDATION,0.0,False
ADOLPH COORS FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,2338159.92824,True
AMBROSE MONELL FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,2011320.2501,False
ANNENBERG FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
ANSCHUTZ FOUNDATION The,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,3414117.231434,False
ARMSTRONG FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,66980.51534499999,False
ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,657163.5262,False
BETH AND RAVENEL CURRY FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,20430800.73767,False
BILL AND MELINDA GATES FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,10598885.1765,False
BODMAN FOUNDATIONS,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,437561.866561,False
BRADLEY IMPACT FUND,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,1086344.2882,False
"BRADY EDUCATION FOUNDATION, INC.",AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,7079646.018,False
CHARLES KOCH INSTITUTE AND FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,2684109.600534,False
CHASE FOUNDATION OF VIRGINIA,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
CLAWS FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
"COVENANT FOUNDATION, INC.",AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
DANIELS FUND,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,7789620.836349,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
DAVIS FAMILY FOUNDATIONS,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,3862068.966,False
DEVOS FAMILY FOUNDATIONS,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,14047934.598763,False
DONORS TRUST & DONORS CAPITAL FUND,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,32609220.3379913,True
DUNN FOUNDATION THE,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,35398.23009,False
E. L. CRAIG FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
ED UIHLEIN FAMILY FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,346634.25246,False
EWING MARION KAUFFMAN FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,1731731.98716,False
EXXONMOBIL FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,4441382.059853,False
"F. M. KIRBY FOUNDATION, INC.",AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,615997.73361,False
FRED MAYTAG FAMILY FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
"GALASHIELS FUND, LTD",AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
GLEASON FAMILY FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,272727.2727,False
GREATER HOUSTON COMMUNITY FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
GROVER HERMANN FOUNDATION The,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,1269358.00012,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
HERRICK FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
HERTOG FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,12660094.958686,False
HOWARD CHARITABLE FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
J. P. HUMPHREYS FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,109049.96482,False
J.M. KAPLAN FUND,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
JAQUELIN HUME FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,113915.07042999999,False
JEAN PERKINS FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,70796.46018,False
JOHN TEMPLETON FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,2717834.792148,False
JOHN WILLIAM POPE FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,300760.90775,False
KERN FAMILY FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,21716995.624,False
KORET FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,222318.37393,False
KOVNER FOUNDATION The,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,32132180.4198,True
KRIEBLE FOUNDATION THE,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,11034.482758,False
LAKESIDE FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,271062.84675,False
LAURA AND JOHN ARNOLD FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,259018.173302,False
"LILLIAN S. WELLS FOUNDATION, INC.",AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
LILLY ENDOWMENT INC.,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,2124435.6406,False
LYNDE AND HARRY BRADLEY FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,9202723.86334,False
M.J. MURDOCK CHARITABLE TRUST,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,277551.0204,False
MALONE FAMILY FOUNDATION The,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
"MARCUS FOUNDATION, INC. The",AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,1488044.13598,False
MERCER FAMILY FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
"NOBLE RESEARCH INSTITUTE, LLC",AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
ORANGE COUNTY COMMUNITY FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
ORANGE CRIMSON FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,4155844.156,True
PIERRE F. AND ENID GOODRICH FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,97824.06755,False
PROMETHEUS FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
RICHARD AND BARBARA GABY FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,5763.662938699999,False
ROBERT AND ARDIS JAMES FOUNDATION INC,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,37457.872179,False
ROBERTS FOUNDATION The,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,14833254.81251,False
ROE FOUNDATION The,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.0,False
