org,data_filled,ein,guidestar,nccs,category,geographic_focus,combine_name,billionaire,ruling_year,naics_code,sic_code,ntee_code,address,state,id
LAURA AND JOHN ARNOLD FOUNDATION,True,263241764,True,,Family,"National, Norway, Canada, Denmark, Massachusetts, Texas, China, California, Virginia, Washington, D.C., United Kingdom, New York ",LAURA AND JOHN ARNOLD FOUNDATION,,2009.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",(Private Grantmaking Foundations) (T20),"2800 Post Oak Blvd Ste 225  
 Houston, TX 77056 USA
 

 WWW.ARNOLDFODNDATION.ORG",TX,1038
"LILLIAN S. WELLS FOUNDATION, INC.",True,237433827,True,,Family,"Illinois, Florida, Delaware, Connecticut, Washington, D.C., Virginia","LILLIAN S. WELLS FOUNDATION, INC.",,1975.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"600 SE 4th St  Fort Lauderdale FL 33301-2215
 Fort Lauderdale, FL 33301 ",FL,3342
LILLY ENDOWMENT INC.,True,350868122,True,,Family,"National, Indiana, Ethiopia, Canada",LILLY ENDOWMENT INC.,,1938.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"2801 N Meridian St  
 Indianapolis, IN 46208 
 WWW.LILLYENDOWMENT.ORG",IN,939
MERCER FAMILY FOUNDATION,True,201982204,True,,Family,"Illinois, Texas, New York, Virginia, Mexico, Washington, D.C. ",MERCER FAMILY FOUNDATION,,2005.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"505 S Flagler Dr Ste 900  West Palm Beach FL 33401-5948
 West Palm Beach, FL 33401 ",FL,3682
"NOBLE RESEARCH INSTITUTE, LLC",True,730606209,True,,Family,"Oklahoma, Georgia, Texas","NOBLE RESEARCH INSTITUTE, LLC",,1955.0,541720 Research and Development in the Social Sciences and Humanities,"8733 Noncommercial Research Organizations
 8732 Commercial Nonphysical Research","Research Institutes and/or Public Policy Analysis (K05)
 Agricultural Programs (K20)
 Research Institutes and/or Public Policy Analysis (C05)","2510 Sam Noble Pkwy  
 Ardmore, OK 73401 USA
 
                            Mrs. Alexis  Carter-Black 
                          
 
                                Primary Contact Phone: (580) 224-6246
                              
 amcarterblack@noble.org
 Director of Development;
 www.noble.org
 
                                Main Office Phone: (580) 223-5810
                              
 2510 Sam Noble Pkwy  
 Ardmore, OK 73401 
 2510 Sam Noble Pkwy  
 Ardmore, OK 73401 ",OK,1993
ORANGE CRIMSON FOUNDATION,True,461233894,True,,Family,"Haiti, New York, Washington, D.C., Maryland, Virginia, Pennsylvania",ORANGE CRIMSON FOUNDATION,,2013.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"1001 Pennsylvania Ave NW Ste 220s  Washington DC 20004-2525
 Washington, DC 20004 ",DC,1714
RICHARD AND BARBARA GABY FOUNDATION,True,202110682,True,,Family,"Washington, D.C., Georgia, Canada, Romania, Virginia, China, Michigan",RICHARD AND BARBARA GABY FOUNDATION,,2005.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"1400 BUFORD HWY STE C1  
 SUGAR HILL, GA 30518 
 
",SU,3260
ROBERT & ARDIS JAMES FOUNDATION INC,True,136880057,True,,Family,"Washington, D.C., Massachusetts, Minnesota, Nebraska, New York, Nicaragua, Connecticut, California, Israel, Kenya, China",ROBERT AND ARDIS JAMES FOUNDATION INC,,1987.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"501 Silverside Rd Ste 123  
 Wilmington, DE 19809 ",DE,2565
ROBERT AND ARDIS JAMES FOUNDATION INC,True,463298762,True,,Family,"New York, Israel, Kenya, China, Washington, D.C., Massachusetts, Nicaragua, Connecticut, Nebraska",ROBERT AND ARDIS JAMES FOUNDATION INC,,2014.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"501 Silverside Rd  
 Wilmington, DE 19809 ",DE,1223
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,True,752542403,True,,Family,"New York, California, Pennsylvania, Indiana, Washington, D.C., Connecticut, Tennessee, Ohio, Texas, Vietnam, Florida, Arizona",ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,,1994.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"5000 Legacy Dr Ste 425  Plano TX 75024-3186
 Plano, TX 75024 ",TX,1828
ALLEGHENY FOUNDATION,True,256012303,True,,Family,Pennsylvania,SCAIFE FAMILY FOUNDATIONS,,1956.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"301 Grant St Ste 3900  
 Pittsburgh, PA 15219 
 WWW.SCAIFE.COM",PA,1326
SORENSON LEGACY FOUNDATION,True,453240491,True,,Family,"Utah, Nepal, Mali, Jordan, Morocco",SORENSON LEGACY FOUNDATION,,2011.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"6900 S 900 E Ste 230  
 Midvale, UT 84047 
 SORENSONLEGACYFOUNDATION.ORG",UT,2868
GROVER HERMANN FOUNDATION THE,True,366064489,True,,Family,"Illinois, California, Washingotn, D.C., Montana, Pakistan, Virginia",GROVER HERMANN FOUNDATION The,,1957.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"908 Kenmare Dr  
 Burr Ridge, IL 60527 ",IL,3949
KOVNER FOUNDATION THE,True,223468030,True,,Family,"New York, Washington, D.C., United Kingdom, New Jersey, Switzerland, Israel, Kenya, Florida",KOVNER FOUNDATION The,,1996.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"1001 N US Highway 1 Ste 400  
 Jupiter, FL 33477 
 THEKOVNERFOUNDATION.ORG",FL,922
KRIEBLE FOUNDATION THE,True,61011349,True,,Family,"Virginia, Colorado, Canada, California, Washington, D.C., United Kingdom, Michigan, New York",KRIEBLE FOUNDATION THE,,1979.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"306 Main St # 400  Worcester MA 01608-1550
 Worcester, MA 01608 
 NONE",MA,110
MALONE FAMILY FOUNDATION THE,True,841408520,True,,Family,"National, Colorado, Idaho, California",MALONE FAMILY FOUNDATION The,,1998.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Corporate Foundations (T21),"3224 Unit B Highway 230  Encampment, WY 82325
 Encampment, WY 82325 
 www.malonefamilyfoundation.org",WY,2627
"MARCUS FOUNDATION, INC. THE",True,581815651,True,,Family,"Georgia, New York, Canada, Israel","MARCUS FOUNDATION, INC. The",,1989.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"1266 W Paces Ferry Rd NW Ste 615  Atlanta GA 30327-2306
 Atlanta, GA 30327 ",GA,2194
ROBERTS FOUNDATION THE,True,942967074,True,,Family,"California, Indonesia, Tanzania, India, Laos, Zambia, Hawaii, Sri Lanka, Vietnam, Nepal, South Africa, Israel, Bangladesh, Cambodia, New York ",ROBERTS FOUNDATION The,,1985.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"2755 Campus Dr Ste 240  San Mateo CA 94403-2515
 San Mateo, CA 94403 
 N/A",CA,1635
ROE FOUNDATION THE,True,237011541,True,,Family,"Washington, D.C., Virginia, South Carolina, Pakistan",ROE FOUNDATION The,,1969.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"301 N Main St Ste 1735  
 Greenville, SC 29601 ",SC,3401
WILLIAM H. DONNER FOUNDATION THE,True,231611346,True,,Family,"California, Colorado, Virginia, New York, India, Czech Republic, Cuba, Washington, D.C., Mexico, Bhutan, Florida ",WILLIAM H. DONNER FOUNDATION The,,1963.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"520 White Plains Rd Ste 1560  
 Tarrytown, NY 10591 
 WWW.DONNER.ORG",NY,1059
"TRIAD FOUNDATION, INC.",True,300108102,True,,Family,"New York, North Carolina, Flordia, Haiti, Washington, D.C., Israel, Bermuda, Mexico, Democratic Republic of the Congo, Israel ","TRIAD FOUNDATION, INC.",,2002.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"15 Ascot Pl  
 Ithaca, NY 14850 ",NY,1601
TULLY AND ELISE FRIEDMAN FUND,True,943264446,True,,Family,"California, New York, Colorado, Connecticut",TULLY AND ELISE FRIEDMAN FUND,,1997.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"1 Maritime Plz Ste 2200  
 San Francisco, CA 94111 
 AG.CA.GOV/CHARITIES",CA,3695
WALTON FAMILY FOUNDATION,True,133441466,True,,Family,"Bentonville, Arkansas",WALTON FAMILY FOUNDATION,,1988.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"PO Box 1860  
 Bentonville, AR 72712 USA
 

 https://www.waltonfamilyfoundation.org/
 
                                Main Office Phone: (479) 464-1579
                              ",AR,738
