sic_code,sole_focus,id,ntee_code,ruling_year,ein,organization_type,state,combined_name,denial,peripheral_focus,naics_code,address,org,substantive_focus,delay,org_level_1,org_level_2,num_docs
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,912,Economic Development (S30),1975.0,52-0991278,501(c)(6),DC,,0.0,0.0,813410 Civic and Social Organizations,"1001 Connecticut Avenw Suite 620  Washington Dc 20036-5590  / Washington, DC 20036 / WWW.ACCF.ORG",AMERICAN COUNCIL FOR CAPITAL FORMATION,1.0,1.0,AMERICAN COUNCIL FOR CAPITAL FORMATION,AMERICAN COUNCIL FOR CAPITAL FORMATION,733.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1823,Research Institutes and/or Public Policy Analysis (E05)/ Research Institutes and/or Public Policy Analysis (C05)/ Research Institutes and/or Public Policy Analysis (U05),1977.0,13-2911127,501(c)(3),NY,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"135 Madison Avenue, 5th Floor, 06-114  / New York, NY 10016-6745 USA/                             Mr. Thom  Golab                           /                                 Primary Contact Phone: (301) 980-4579                              / tgolab@acsh.org/ President/ www.acsh.org/                                 Main Office Phone: (212) 362-7044                              / 135 Madison Avenue, 5th Floor, 06-114  / New York, NY 10016-6745 / 135 Madison Avenue, 5th Floor, 06-114  / New York, NY 10016-6745 / 135 Madison Avenue, 5th Floor, 06-114 / New York NY 10016-6745/ International Tel: +212 362",AMERICAN COUNCIL ON SCIENCE AND HEALTH,1.0,1.0,AMERICAN COUNCIL ON SCIENCE AND HEALTH,AMERICAN COUNCIL ON SCIENCE AND HEALTH,8039.0
"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",True,3785,Alliance/Advocacy Organizations (R01),2008.0,26-2731617,501(c)(4),DC,,0.0,0.0,813319 Other Social Advocacy Organizations,"1155 15th St NW Ste 900  / Washington, DC 20005 / WWW.AMERICANENERGYALLIANCE.ORG",AMERICAN ENERGY ALLIANCE,1.0,1.0,AMERICAN ENERGY ALLIANCE,AMERICAN ENERGY ALLIANCE,1790.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,3057,Research Institutes and/or Public Policy Analysis (W05)/ Research Institutes and/or Public Policy Analysis (Q05)/ Research Institutes and/or Public Policy Analysis (S05),1944.0,53-0218495,501(c)(3),DC,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1789 Massachusetts Avenue NW  / Washington, DC 20036 USA/                             Ms. Nicole  Ruman Skinner                           /                                 Primary Contact Phone: (202) 8625800                              / nskinner@aei.org/ Managing Director, Development/ www.aei.org/                                 Main Office Phone: (202) 862-5800                              / 1789 Massachusetts Avenue NW  / Washington, DC 20036 / 1789 Massachusetts Avenue NW  / Washington, DC 20036",AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,1.0,1.0,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,76952.0
"8399 Social Services, NEC",True,1639,Single Organization Support (S11),1976.0,52-1042125,501(c)(6),DC,,0.0,0.0,813219 Other Grantmaking and Giving Services,"999 E St NW Ste 200  / Washington, DC 20004 / WWW.AXPC.ORG",AMERICAN EXPLORATION & PRODUCTION COUNCIL,1.0,1.0,AMERICAN EXPLORATION & PRODUCTION COUNCIL,AMERICAN EXPLORATION & PRODUCTION COUNCIL,48.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,6,Farm Bureau (K28)/ Farm Bureau (K28),1950.0,36-0725160,501(c)(5),DC,,0.0,0.0,813910 Business Associations,"600 Maryland Ave. SW Suite 1000W / Washington, DC 20024 /                              Jordan   Craig                           / jcraig@fb.org/ www.fb.org/                                 Main Office Phone: (202) 406-3600",AMERICAN FARM BUREAU FEDERATION,1.0,1.0,AMERICAN FARM BUREAU FEDERATION,AMERICAN FARM BUREAU FEDERATION,20968.0
8331 JOB TRAINING AND RELATED SERVICES,False,3548,"Employment, Job Related N.E.C. (J99)",1942.0,36-0725250,501(c)(6),VA,,0.0,1.0,624310 Vocational Rehabilitation Services,"2101 Wilson Blvd Ste 810  / Arlington, VA 22201 / WWW.AFIA.ORG",AMERICAN FEED INDUSTRY ASSOCIATION,0.0,1.0,AMERICAN FEED INDUSTRY ASSOCIATION,AMERICAN FEED INDUSTRY ASSOCIATION,1827.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,2007,Promotion of Business (Chambers of Commerce) (S41),1963.0,53-0115970,501(c)(6),DC,,0.0,0.0,813910 Business Associations,"1800 M St NW Ste 900n  Washington DC 20036-5883/ Washington, DC 20036 / WWW.AFPM.ORG",AMERICAN FUEL AND PETROCHEMICAL MANUFACTURERS,1.0,1.0,AMERICAN FUEL AND PETROCHEMICAL MANUFACTURERS,AMERICAN FUEL AND PETROCHEMICAL MANUFACTURERS,2888.0
8621 PROFESSIONAL ORGANIZATIONS,True,354,"Professional Societies, Associations (W03)",1938.0,13-0431590,501(c)(6),DC,,0.0,0.0,813920 Professional Organizations,"400 N Capitol St NW  Washington DC 20001-1511/ Washington, DC 20001 / WWW.AGA.ORG",AMERICAN GAS ASSOCIATION,1.0,1.0,AMERICAN GAS ASSOCIATION,AMERICAN GAS ASSOCIATION,7145.0
8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,False,1289,Research Institutes and/or Public Policy Analysis (B05)/ Economics (as a Social Science) (V22)/ Economics (as a Social Science) (V22),1999.0,04-2121305,501(c)(3),MA,,0.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"250 Division St  / Great Barrington, MA 01230 USA/                              Michele J. Kearns                           /                                 Primary Contact Phone: (413) 645-3146 Ext 3146                              / michele.kearns@aier.org/ Vice President, Finance/ www.aier.org/                                 Main Office Phone: (888) 528-1216                              / 250 Division St  / Great Barrington, MA 01230 / 250 Division St  / Great Barrington, MA 01230",AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,1.0,1.0,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,1920.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,3872,"Mutual/Membership Benefit Organizations, Other N.E.C. (Y99)/ Research Institutes and/or Public Policy Analysis (B05)",1977.0,52-0140979,501(c)(3),VA,,1.0,0.0,813410 Civic and Social Organizations,"2900 Crystal Drive Suite 600 / Arlington, VA 22202 USA/                              Lisa  Bowen                           /                                 Primary Contact Phone: (571) 482-5060                              / lbowen@alec.org/ Senior Director of Finance and Administration/ www.alec.org/                                 Main Office Phone: (703) 373-0933                              / 2900 Crystal Drive Suite 600 / Arlington, VA 22202 / 2900 Crystal Drive Suite 600 / Arlington, VA 22202",AMERICAN LEGISLATIVE EXCHANGE COUNCIL,1.0,1.0,AMERICAN LEGISLATIVE EXCHANGE COUNCIL,AMERICAN LEGISLATIVE EXCHANGE COUNCIL,1656.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,1939,Promotion of Business (Chambers of Commerce) (S41),1938.0,13-0433430,501(c)(6),DC,,0.0,0.0,813910 Business Associations,"200 Massachusetts Ave NW  Washington DC 20001-1429/ Washington, DC 20001 / WWW.API.ORG",AMERICAN PETROLEUM INSTITUTE,1.0,1.0,AMERICAN PETROLEUM INSTITUTE,AMERICAN PETROLEUM INSTITUTE,7456.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1865,Research Institutes and/or Public Policy Analysis (W05),1984.0,52-1645354,501(c)(4),AN,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"53 Main St Unit 3640  Warrenton VA 20188-8478/ Warrenton, VA 20188 / WWW.AMERICAN POLICY.ORG",AMERICAN POLICY CENTER,1.0,1.0,AMERICAN POLICY CENTER,AMERICAN POLICY CENTER,1008.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,1780,Promotion of Business (Chambers of Commerce) (S41),1957.0,84-0449271,501(c)(3),CO,,0.0,1.0,813910 Business Associations,"9785 Maroon Cir Ste 360  Englewood CO 80112-2692/ Englewood, CO 80112 / WWW.SHEEPUSA.ORG",AMERICAN SHEEP INDUSTRY ASSOCIATION,0.0,1.0,AMERICAN SHEEP INDUSTRY ASSOCIATION,AMERICAN SHEEP INDUSTRY ASSOCIATION,1033.0
8661 RELIGIOUS ORGANIZATIONS,False,2724,Roman Catholic (X22),1973.0,23-7325778,501(c)(3),PA,,1.0,1.0,813110 Religious Organizations,"1358 Jefferson Road  / Spring Grove, PA 17362 /                             Mr. Robert E.  Ritchie                           /                                 Primary Contact Phone: (888) 3175571                              / tfp@tfp.org/ Director/ www.tfp.org",AMERICAN SOCIETY FOR THE DEFENSE OF TRADITION FAMILY AND PROPERTY,0.0,1.0,AMERICAN SOCIETY FOR THE DEFENSE OF TRADITION FAMILY AND PROPERTY,AMERICAN SOCIETY FOR THE DEFENSE OF TRADITION FAMILY AND PROPERTY,1646.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,870,Citizen Participation (W24)/ Other Youth Development N.E.C. (O99),1969.0,23-7002632,501(c)(3),VA,,1.0,0.0,813410 Civic and Social Organizations,"122 S. Royal Street  / Alexandria, VA 22314 USA/                             Mr. Alex Jane Kiselica                           /                                 Primary Contact Phone: (703) 807-2011                              / kiselicaa@spectator.org/ Development Manager/ www.spectator.org/                                 Main Office Phone: (703) 807-2011                              / 122 S. Royal Street  / Alexandria, VA 22314 / 122 S. Royal Street  / Alexandria, VA 22314",AMERICAN SPECTATOR FOUNDATION,1.0,1.0,AMERICAN SPECTATOR FOUNDATION,AMERICAN SPECTATOR FOUNDATION,4692.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,3890,"Urban, Community  (S31)",2004.0,75-3148958,501(c)(4),VA,AMERICANS FOR PROSPERITY,1.0,0.0,813410 Civic and Social Organizations,"1310 N Courthouse Rd  Arlington VA 22201-2508/ Arlington, VA 22201 / www.americansforprosperity.org",AMERICANS FOR PROSPERITY,1.0,1.0,AMERICANS FOR PROSPERITY,AMERICANS FOR PROSPERITY,900.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,3008,Economics (as a Social Science) (V22)/ Research Institutes and/or Public Policy Analysis (Y05)/ Research Institutes and/or Public Policy Analysis (B05),1988.0,52-1527294,501(c)(3),VA,AMERICANS FOR PROSPERITY,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"2111 Wilson Blvd. Suite 350 / Arlington, VA 22201 /                             Mr. Tim  Phillips                           /                                 Primary Contact Phone: (703) 224-3200                              / info@afphq.org/ President/ www.americansforprosperity.org/                                 Main Office Phone: (703) 224-3240                              / 2111 Wilson Blvd. Suite 350 / Arlington, VA 22201",AMERICANS FOR PROSPERITY FOUNDATION,1.0,1.0,AMERICANS FOR PROSPERITY FOUNDATION,AMERICANS FOR PROSPERITY,
"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",False,2744,Alliance/Advocacy Organizations (W01),1993.0,52-1403587,501(c)(4),DC,AMERICANS FOR TAX REFORM,1.0,0.0,813319 Other Social Advocacy Organizations,"722 12th St. NW 4th Floor / Washington, DC 20005 USA/                              Megan  Worley                           / mworley@atr.org/ Vice President, Finance/ www.atr.org/                                 Main Office Phone: (202) 785-0266                              / 722 12th St. NW 4th Floor / Washington, DC 20005",AMERICANS FOR TAX REFORM,1.0,1.0,AMERICANS FOR TAX REFORM,AMERICANS FOR TAX REFORM,743.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,2053,Research Institutes and/or Public Policy Analysis (W05),1985.0,52-1400492,501(c)(3),DC,AMERICANS FOR TAX REFORM,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"722 12TH St NW 4th Floor / Washington, DC 20005 USA/                              Megan  Worley                           / mworley@atr.org/ ww.americansfortaxreformfoundation.org/ 722 12TH St NW 4th Floor / Washington, DC 20005",AMERICANS FOR TAX REFORM FOUNDATION,1.0,1.0,AMERICANS FOR TAX REFORM FOUNDATION,AMERICANS FOR TAX REFORM,
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1157,Research Institutes and/or Public Policy Analysis (A05)/ Research Institutes and/or Public Policy Analysis (Q05)/ Research Institutes and/or Public Policy Analysis (W05),1988.0,27-3352652,501(c)(4),VA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1900 Campus Commons Drive Suite 600 / Reston, VA 20191 USA/                             Mr. Coley  Jackson                           /                                 Primary Contact Phone: (571) 267-3500                              / cjackson@mrc.org/ Vice President of Development/ https://www.mrc.org//                                 Main Office Phone: (571) 267-3500                              / 1900 Campus Commons Drive Suite 600 / Reston, VA 20191 / 1900 Campus Commons Drive Suite 600 / Reston, VA 20191",AMERICA INC,1.0,1.0,AMERICA INC,AMERICA INC,
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,2616,Research Institutes and/or Public Policy Analysis (R05)/ Alliance/Advocacy Organizations (B01)/ Private Grantmaking Foundations (T20),1981.0,94-2763845,501(c)(3),VA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"4075 Wilson Blvd. Suite 310 Two Liberty Center / Arlington, VA 22203 USA/                             Mr. Bradley  Lips                           /                                 Primary Contact Phone: (202) 449-8449                              / brad.lips@atlasnetwork.org/ Chief Executive Officer/ www.AtlasNetwork.org/                                 Main Office Phone: (202) 449-8449                              / 1201 L Street NW 2nd Floor / Washington,  20005 / 4075 Wilson Blvd. Suite 310 Two Liberty Center / Arlington, VA 22203",ATLAS NETWORK,1.0,1.0,ATLAS NETWORK,ATLAS NETWORK,1751.0
,False,2607,"Humanities Organizations (A70)/ Civil Rights, Social Action, and Advocacy N.E.C. (R99)",2016.0,13-3554791,501(c)(3),TX,,1.0,1.0,"71 Arts, Entertainment, and Recreation","22001 Northpark Dr #250  / Kingwood, TX 77339 USA/                             Ms. Carolyn  Gino                           /                                 Primary Contact Phone: (925) 399-2587                              / cgino@atlassociety.org/ COO/ http://www.atlassociety.org/                                 Main Office Phone: (833) 296-7263 Ext 2                              / 22001 Northpark Dr #250  / Kingwood, TX 77339 / 22001 NORTHPARK DR STE 250  / Kingwood, TX 77339",ATLAS SOCIETY,0.0,1.0,ATLAS SOCIETY,ATLAS SOCIETY,937.0
,False,2944,Unknown (Z99),1987.0,22-2570926,501(c)(3),CA,,1.0,0.0,,"6 Hutton Centre Suite 600 / Santa Ana, CA 92707 USA/                             Mr. David  Gulbraa                           /                                 Primary Contact Phone: (949) 222-6550                              / dgulbraa@aynrand.org/ Donor Services Coordinator/ www.aynrand.org/                                 Main Office Phone: (949) 222-6550                              / 6 Hutton Centre Suite 600 / Santa Ana, CA 92707 / 6 Hutton Centre Suite 600 / Santa Ana, CA 92707",AYN RAND INSTITUTE,1.0,1.0,AYN RAND INSTITUTE,AYN RAND INSTITUTE,1622.0
8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,False,3681,Economics (as a Social Science) (V22),2008.0,26-6265950,501(c)(3),MA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"165 MAIN ST UNIT 306  / MEDWAY, MA 02053 USA/                             Dr. David  Tuerck                           /                                 Primary Contact Phone: (855) 244-4550                              / dtuerck@beaconhill.org/ President and Managing Trustee/ www.beaconhill.org/                                 Main Office Phone: (855) 244 Ext 4550                              / 165 MAIN ST UNIT 306  / MEDWAY, MA 02053 / 165 MAIN ST UNIT 306  / MEDWAY, MA 02053",BEACON HILL INSTITUTE FOR PUBLIC POLICY RESEARCH,1.0,1.0,BEACON HILL INSTITUTE FOR PUBLIC POLICY RESEARCH,BEACON HILL INSTITUTE FOR PUBLIC POLICY RESEARCH,430.0
,False,3639,,,83-4513582,501(c)(3),,,0.0,1.0,,,BROAD AND LIBERTY,0.0,1.0,BROAD AND LIBERTY,BROAD AND LIBERTY,407.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,128,Research Institutes and/or Public Policy Analysis (A05),2004.0,31-1278593,501(c)(3),KY,,0.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"P.O. Box 11706  / Lexington, KY 40577 USA/                             Ms. Kelly  Smith                           /                                 Primary Contact Phone: (859) 576-1920                              / ksmith@freedomkentucky.com/ Director of Development/ www.bipps.org/                                 Main Office Phone: (270) 320-4376                              / 192 N. Broadway  / Lexington, KY 40507",BUCKEYE INSTITUTE FOR PUBLIC POLICY SOLUTIONS THE,1.0,1.0,BUCKEYE INSTITUTE FOR PUBLIC POLICY SOLUTIONS THE,BUCKEYE INSTITUTE FOR PUBLIC POLICY SOLUTIONS THE,855.0
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,323,Citizen Participation (W24),2008.0,26-2176691,501(c)(3),DE,,0.0,0.0,813410 Civic and Social Organizations,"420 Corporate Blvd  / Newark, DE 19702 / HTTP://WWW.CAESARRODNEY.ORG",CAESAR RODNEY INSTITUTE,1.0,1.0,CAESAR RODNEY INSTITUTE,CAESAR RODNEY INSTITUTE,382.0
"8399 SOCIAL SERVICES, NEC",False,2742,Philanthropy / Charity / Voluntarism Promotion (General) (T50),1983.0,52-1289734,501(c)(3),DC,,1.0,0.0,813219 Other Grantmaking and Giving Services,"1513 16th St NW  / Washington, DC 20036 / WWW.CAPITALRESEARCH.ORG",CAPITAL RESEARCH CENTER,1.0,1.0,CAPITAL RESEARCH CENTER,CAPITAL RESEARCH CENTER,238.0
8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,False,2525,Research Institutes and/or Public Policy Analysis (B05),1996.0,93-1045925,501(c)(3),OR,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"4850 SW Scholls Ferry Road Suite 103 / Portland, OR 97225 USA/                             Mr. John  Charles                           /                                 Primary Contact Phone: (503) 2420900                              / info@CascadePolicy.org/ President & CEO/ http://cascadepolicy.org/                                 Main Office Phone: (503) 242-0900                              / 4850 SW Scholls Ferry Road Suite 103 / Portland, OR 97225 / 4850 SW Scholls Ferry Road Suite 103 / Portland, OR 97225",CASCADE POLICY INSTITUTE,1.0,1.0,CASCADE POLICY INSTITUTE,CASCADE POLICY INSTITUTE,1141.0
8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,False,3175,Research Institutes and/or Public Policy Analysis (B05),1975.0,23-7432162,501(c)(3),DC,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1000 Massachusetts Ave NW  / Washington, DC 20001 USA/                              Khristine  Brookes                           / kbrookes@cato.org/ Vice President of Communications/ www.cato.org/                                 Main Office Phone: (202) 842-0200                              / 1000 Massachusetts Ave NW  / Washington, DC 20001 / 1000 Massachusetts Ave NW  / Washington, DC 20001",CATO INSTITUTE,1.0,1.0,CATO INSTITUTE,CATO INSTITUTE,44161.0
