org,crp_code,crp_cat1,crp_cat2
AMERICAN INSTITUTE FOR FULL EMPLOYMENT,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICAN LEGISLATIVE EXCHANGE COUNCIL,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICAN METEOROLOGICAL SOCIETY,X4000,NON-PROFITS,OTHER
AMERICAN POLICY CENTER,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICAN PRINCIPLES PROJECT,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICAN SOCIETY OF COMPETITIVENESS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICAN SPECTATOR FOUNDATION,C1100,"BOOK, NEWSPAPER & PERIODICAL PUBLISHING",COMMUNICATIONS/ELECTRONICS
AMERICANS FOR EFFECTIVE LAW ENFORCEMENT,X4000,NON-PROFITS,OTHER
AMERICANS FOR LIMITED GOVERNMENT,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICANS FOR PROSPERITY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICANS FOR TAX REFORM,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMINEX THERAPEUTICS,H4500,BIOTECH PRODUCTS & RESEARCH,PHARMACEUTICALS/HEALTH PRODUCTS
ANA HOLDINGS INC,T1600,AVIATION SERVICES & AIRPORTS,TRANSPORTATION
APOLLO MANAGEMENT LP,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
APPALACHIAN MOUNTAIN ADVOCATES,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AQR CAPITAL MANAGEMENT LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
ARETE SCHOLARS,X4110,PHILANTHROPISTS,OTHER
ARIEL CORPORATION,M2000,HEAVY INDUSTRIAL MANUFACTURING,MANUFACTURING & DISTRIBUTING 
ASSUMPTION UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
"AT&T, FLORIDA & CARIBBEAN",C4000,TELECOMMUNICATIONS,COMMUNICATIONS/ELECTRONICS
ATLANTIC COUNCIL,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
ATLAS NETWORK,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
ATLAS SOCIETY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
ATTORNEYS FOR FAMILY-HELD ENTERPRISES,K1000,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS
AUBURN UNIVERSITY PARENTS ASSOCIATION,X4000,NON-PROFITS,OTHER
AYN RAND INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
BARBER FAMILY FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
BARTLEY J MADDEN FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
BEACH INVESTMENT COUNSEL,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE, AND REAL ESTATE"
BELLWETHER CONSULTING,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE, AND REAL ESTATE"
BENJAMIN RUSH INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
BERENSON & COMPANY,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
BETSY FISHER INC,G4100,APPAREL & ACCESSORY STORES,MISC BUSINESS
BILL OF RIGHTS INSTITUTE,H5000,EDUCATION,OTHER
BLANTON MUSEUM OF ART,X4200,"MUSEUMS, ART GALLERIES, LIBRARIES, ETC. ",NON-PROFIT INSTITUTIONS
BLAUCH AND ASSOCIATES,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE, AND REAL ESTATE"
BLOOMBERG NEWS,C2300,TV PRODUCTION,COMMUNICATIONS/ELECTRONICS
BLUEBIRD ASSET MANAGEMENT,F4700,OTHER REAL ESTATE SERVICES,"FINANCE, INSURANCE, AND REAL ESTATE"
BLYTHEBOURNE CAPITAL LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
BODMAN FOUNDATIONS,X4100,NON-PROFIT FOUNDATIONS,OTHER
BOK TOWER GARDENS,A8000,FLORIST & NURSERY SERVICES,AGRIBUSINESS
BOSTON UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
BOYDEN GRAY & ASSOCIATES,K0000,LEGAL SERVICES,LAWYERS & LOBBYISTS
BOYS TOWN WASHINGTON DC,H0000,"HEALTH, EDUCATION & HUMAN RESOURCES",HEALTH
BRADLEY IMPACT FUND,X4100,NON-PROFIT FOUNDATIONS,OTHER
Brandon Dunes Golf Resort,G6400,"PROFESSIONAL SPORTS, ARENAS & RELATED EQUIP & SVCS",RECREATION/LIVE ENTERTAINMENT
BRAVO VAIL MUSIC FESTIVAL,C2800,"BANDS, ORCHESTRAS & OTHER LIVE MUSIC PRODUCTION",COMMUNICATIONS/ELECTRONICS
BREVARD MUSIC CENTER,C2800,"BANDS, ORCHESTRAS & OTHER LIVE MUSIC PRODUCTION",COMMUNICATIONS/ELECTRONICS
BRITTANY CAPITAL,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE & REAL ESTATE"
BYRON CONSULTING,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE & REAL ESTATE"
CAESAR RODNEY INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
California Consortium for Agricultural Export,A0000,AGRICULTURE,AGRIBUSINESS
CALIFORNIA INSTITUTE OF TECHNOLOGY,H5100,SCHOOLS & COLLEGES,OTHER
California Manufacturing and Engineering Company (C-MEC),M2000,HEAVY INDUSTRIAL MANUFACTURING,MISC BUSINESS
CALIFORNIA STATE SENATE,J2400,"REPUBLICAN OFFICIALS, CANDIDATES & FORMER MEMBERS",IDEOLOGICAL/SINGLE-ISSUE
CANCER TREATMENT CENTERS OF AMERICA INC,H2000,HEALTH CARE INSTITUTIONS,HEALTH
CAPITAL INTERNATIONAL INC.,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE & REAL ESTATE"
CAPITAL RESEARCH CENTER,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CAPITAL7,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
CARA COLLECTIVE,X4000,NON-PROFITS,OTHER
CARLYLE GROUP,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
CATO INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CAYMAN FINANCIAL REVIEW,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS
Center for Civil Society,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CENTER FOR DEMOCRACY AND TECHNOLOGY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CENTER FOR EXCELLENCE IN HIGHER EDUCATION,X4000,NON-PROFITS,OTHER
CENTER FOR GROWTH AND OPPORTUNITY UTAH STATE UNIVERSITY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CENTER FOR INTERNATIONAL PRIVATE ENTERPRISE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CENTER FOR INTERNATIONAL PRIVATE ENTERPRISE INC,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CENTER FOR THE NATIONAL INTEREST,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CENTER FOR THE STUDY OF CARBON DIOXIDE AND GLOBAL CHANGE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CENTERVIEW CAPITAL,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
CHANDLER MANAGEMENT CORPORATION,F4100,REAL ESTATE DEVELOPERS & SUBDIVIDERS,"FINANCE, INSURANCE, AND REAL ESTATE"
CHAPMAN UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
CHARLES KOCH FOUNDATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CHARLES KOCH INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CHARLES KOCH INSTITUTE ,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CHASE FOUNDATION OF VIRGINIA,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CHASE INVESTMENT COUNSEL CORPORATION,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE & REAL ESTATE"
CHIAROSCURO FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
CHITESTER CREATIVE ASSOCIATES,C2300,TV PRODUCTION,COMMUNICATIONS/ELECTRONICS
CLAWS FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
CLEAN ENERGY FUELS CORPORATION,E1000,ENERGY PRODUCTION & DISTRIBUTION,ENERGY & NATURAL RESOURCES
CLEMMONS LAW FIRM LLC,K1000,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS
CLUB FOR GROWTH,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CNL FINANCIAL GROUP,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
CO2 COALITION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
COASTVIEW CAPITAL LLC,F2500,VENTURE CAPITAL,"FINANCE, INSURANCE, AND REAL ESTATE"
COLLIERS INTERNATIONAL GROUP INC,F4700,OTHER REAL ESTATE SERVICES,"FINANCE, INSURANCE, AND REAL ESTATE"
COLONIAL CONTRACTING CORP,B0000,CONSTRUCTION & PUBLIC WORKS,CONSTRUCTION
COLSON CENTER,X7000,"CHURCHES, CLERGY & RELIGIOUS ORGANIZATIONS",CLERGY & RELIGIOUS ORGANIZATIONS
COMMITTEE FOR A CONSTRUCTIVE TOMORROW,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
COMMON SENSE INSTITUTE OF NEW JERSEY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
COMMONWEALTH FOUNDATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
COMPETITIVE ENTERPRISE INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CONGRESSIONAL SPORTSMENS FOUNDATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CONNECTICUT HOUSE OF REPRESENTATIVES,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
CONOCOPHILLIPS,E1110,MAJOR (MULTINATIONAL) OIL & GAS PRODUCERS,ENERGY & NATURAL RESOURCES
CORNERSTONE STRATEGIC VALUE FUND INC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
Cornerstone Total Return Fund Inc,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
CORNWALL ALLIANCE FOR THE STEWARDSHIP OF CREATION,X7000,"CHURCHES, CLERGY & RELIGIOUS ORGANIZATIONS",CLERGY & RELIGIOUS ORGANIZATIONS
COUNCIL ON FOREIGN RELATIONS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
Council on Foreign Relations,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
COVANTA HOLDING CORPORATION,E3000,WASTE MANAGEMENT,ENERGY & NATURAL RESOURCES
"COVENANT FOUNDATION, INC.",X4100,NON-PROFIT FOUNDATIONS,OTHER
CRDF GLOBAL,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
CROW HOLDINGS,F4100,REAL ESTATE DEVELOPERS & SUBDIVIDERS,"FINANCE, INSURANCE, AND REAL ESTATE"
CROWNQUEST OPERATING,E1120,INDEPENDENT OIL & GAS PRODUCERS,ENERGY & NATURAL RESOURCES
CW MANAGEMENT CORPORATION,F4500,BUILDING OPERATORS AND MANAGERS,"FINANCE, INSURANCE, AND REAL ESTATE"
CYBEX INTERNATIONAL,M3600,SPORTING GOODS SALES & MANUFACTURING ,MISC BUSINESS
DAILY CALLER NEWS FOUNDATION THE,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS
DALTON GREINER HARTMAN MAHER,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
DAVID & ANNETTE JORGENSEN FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
DEBEVOISE & PLIMPTON LLP,K1200,CORPORATE LAWYERS & LAW FIRMS,LAWYERS & LOBBYISTS
DEEP ISOLATION INC,E1320,"NUCLEAR PLANT CONSTRUCTION, EQUIPMENT & SVCS",ENERGY & NATURAL RESOURCES
Delphi ventures,F2500,VENTURE CAPITAL,"FINANCE, INSURANCE, AND REAL ESTATE"
DEPARTMENT OF THE AIR FORCE,X5000,MILITARY,OTHER
DEPAUL UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
DESERT ROYALTY COMPANY LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
DEVELOPERS DIVERSIFIED REALTY AKA SITE CENTERS CORP; DDR,F4100,REAL ESTATE DEVELOPERS & SUBDIVIDERS,"FINANCE, INSURANCE, AND REAL ESTATE"
DICK AND BETSY DEVOS FAMILY FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
DLA PIPER,K1000,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS
DONALD SMITH & CO,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
DONORS CAPITAL FUND,X4100,NON-PROFIT FOUNDATIONS,OTHER
DONORS TRUST,X4100,NON-PROFIT FOUNDATIONS,OTHER
DUNN CAPITAL MANAGEMENT LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
DUNN FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
DYNASTY FINANCIAL PARTNERS LLC,F5000,FINANCIAL SERVICES & CONSULTING ,"FINANCE, INSURANCE, AND REAL ESTATE"
E. L. CRAIG FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
EAGLE CAPITAL MANAGEMENT LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
EAGLE HEALTHPLANS,F3100,"INSURANCE COMPANIES, BROKERS & AGENTS","FINANCE, INSURANCE, AND REAL ESTATE"
ECOLE DES HAUTES ETUDES COMMERCIALES DU NORD,H5100,SCHOOLS & COLLEGES,OTHER
ECONOFACT,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS
ECONOMIC ADVISORY COUNCIL FOR GOVERNOR SCOTT,J2400,"REPUBLICAN OFFICIALS, CANDIDATES & FORMER MEMBERS",IDEOLOGICAL/SINGLE-ISSUE
EGGLESTON KING LLP,K1000,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS
EHE INTERNATIONAL,H3000,HEALTH CARE SERVICES,HEALTH
ELLIOT MANAGEMENT CORP,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
CAPITAL GROUP ,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
ENERGY & ENVIRONMENT LEGAL INSTITUTE,X4000,NON-PROFITS,OTHER
ENTERPRISE FLORIDA,G1300,PRO-BUSINESS ASSOCIATION,MISC BUSINESS
EQUINOX PARTNERS LP,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
Equipment Parts Wholesale,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS
ERA DAWSON BRADFORD CO,F4200,REAL ESTATE AGENTS,"FINANCE, INSURANCE, AND REAL ESTATE"
ERIC VOEGELIN SOCIETY,X4000,NON-PROFITS,OTHER
ETHAN ALLEN INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
EURAZEO,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
EXECUTIVE COMMITTEE OF CORDILLERA CORPORATION OF DENVER,F4000,REAL ESTATE ,"FINANCE, INSURANCE, AND REAL ESTATE"
EXIT STRATEGY LLC,F5000,FINANCIAL SERVICES & CONSULTING ,"FINANCE, INSURANCE, AND REAL ESTATE"
FABICK CAT,B6000,CONSTRUCTION EQUIPMENT,CONSTRUCTION
FAITH AND LAW INSTITUTE,X4000,NON-PROFITS,OTHER
FARRELL FAMILY FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
FEDERAL AVIATION COMMITTEE,X3000,CIVIL SERVANT/PUBLIC EMPLOYEE,OTHER
FEDERAL RESERVE BANK OF CHICAGO,X3000,CIVIL SERVANT/PUBLIC EMPLOYEE,OTHER
FEDERALIST SOCIETY FOR LAW AND PUBLIC POLICY STUDIES,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
FEDERATION OF AMERICAN SCIENTISTS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
Financial Executives International,G1300,PRO-BUSINESS ASSOCIATION,MISC BUSINESS
FLEUR HARLAN FOUNDATION,X4100,NONPROFIT FOUNDATIONS,OTHER
FLORIDA VIRTUAL SCHOOL,H5100,SCHOOLS & COLLEGES,OTHER
FLYING DOG BREWERY,G2800,ALCOHOL,MISC BUSINESS
FOUNDATION FOR ECONOMIC EDUCATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
FOUNDATION FOR GOVERNMENT ACCOUNTABILITY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
FOUNDATION GROUP LLC,X4000,NON-PROFITS,OTHER
FRASER INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
FREDDIE AWARDS,T9400,TRAVEL AGENTS,MISC BUSINESS
FREE TO CHOOSE NETWORK,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
FREEDOM MANAGEMENT GROUP,X4000,NON-PROFITS,OTHER
FREEDOM PARTNERS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
FREEDOMWORKS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
FRIEDMAN FLEISCHER & LOWE PARTNERS LLP,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
FUND FOR CONSTITUTIONAL GOVERNMENT,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
Fund for the American Studies,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
GALILEO GLOBAL ADVISORS,F5000,FINANCIAL SERVICES & CONSULTING ,"FINANCE, INSURANCE, AND REAL ESTATE"
GARDEN STATE INITIATIVE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
GATEWAY FOR CANCER RESEARCH,X4000,NON-PROFITS,OTHER
GENERAL ATOMICS,D4000,DEFENSE RESEARCH & DEVELOPMENT,DEFENSE
GENEVA CENTRE FOR SECURITY POLICY,X4000,NON-PROFITS,OTHER
GEORGE MASON UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
GEORGE W. BUSH PRESIDENTIAL CENTER,X4200,"MUSEUMS, ART GALLERIES, LIBRARIES, ETC. ",OTHER
GEORGE WASHINGTON UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
GEORGETOWN UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
GILDER LEHRMAN INSTITUTE OF AMERICAN HISTORY,H5000,EDUCATION,OTHER
GLOBAL COMMODITIES APPLIED RESEARCH DIGEST,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS
GLOUCESTER INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
"GORDON, FOURNARIS, AND MAMMARELLA, PA",K1000,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS
GORE CREEK ASSET MANAGEMENT LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
GRAND ACTION COMMITTEE,F4100,REAL ESTATE DEVELOPERS & SUBDIVIDERS,"FINANCE, INSURANCE, AND REAL ESTATE"
GRAYROBINSON PA,K1000,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS
Harris Construction,B0000,CONSTRUCTION & PUBLIC WORKS,CONSTRUCTION
HARRISON STREET REAL ESTATE CAPITAL LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
HARVARD UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
HARVARD-SMITHSONIAN CENTER FOR ASTROPHYSICS,H5000,EDUCATION,OTHER
HEADQUARTERS U.S. AIR FORCE,X5000,MILITARY,OTHER
HEARTLAND INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
HEBREW UNION COLLEGE – JEWISH INSTITUTE OF RELIGION,H5100,SCHOOLS & COLLEGES,OTHER
HERITAGE FOUNDATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
HILTON FAMILY FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
HOLMAN FOUNDATION,X4100,NON-PROFIT FOUNDATIONS ,OTHER
HOOVER INSTITUTION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
HUDSON INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
IHC GLOBAL,X4000,NON-PROFITS,OTHER
IN PURSUIT OF,G5280,MARKETING RESEARCH,MISC BUSINESS
INDIAN PARLIAMENT,X9000,FOREIGN GOVERNMENT,OTHER
INDIANA STATE HOUSE OF REPRESENTATIVES,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
