ein,name,position,year,org
52-1844456,DR. S. ROBERT LICHTER,PRESIDENT,2008,GENETIC LITERACY PROJECT
52-1844456,DODIE MCCRACKEN,DIRECTOR,2008,GENETIC LITERACY PROJECT
52-1844456,NELL MINOW,DIRECTOR,2008,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,2008,GENETIC LITERACY PROJECT
52-1844456,TRUMAN ANDERSON,CHAIRMAN,2008,GENETIC LITERACY PROJECT
52-1844456,DR. S. ROBERT LICHTER,PRESIDENT,2007,GENETIC LITERACY PROJECT
52-1844456,DAVID GERGEN,DIRECTOR,2007,GENETIC LITERACY PROJECT
52-1844456,NELL MINOW,DIRECTOR,2007,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,2007,GENETIC LITERACY PROJECT
52-1844456,TRUMAN ANDERSON,DIRECTOR,2007,GENETIC LITERACY PROJECT
52-1844456,NEWTON MINOW,DIRECTOR,2007,GENETIC LITERACY PROJECT
52-1844456,DODIE MCCRACKEN,DIRECTOR,2007,GENETIC LITERACY PROJECT
52-1844456,DR. LINDA LICHTER,VICE PRESIDENT,2006,GENETIC LITERACY PROJECT
52-1844456,DR. S. ROBERT LICHTER,PRESIDENT,2006,GENETIC LITERACY PROJECT
52-1844456,NEWTON MINOW,DIRECTOR,2006,GENETIC LITERACY PROJECT
52-1844456,DANIELLE STRUPPA,DIRECTOR,2006,GENETIC LITERACY PROJECT
52-1844456,"HON. ROBERT D. STUART, JR.",DIRECTOR,2006,GENETIC LITERACY PROJECT
52-1844456,NELL MINOW,DIRECTOR,2006,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,2006,GENETIC LITERACY PROJECT
52-1844456,DAVID GERGEN,DIRECTOR,2006,GENETIC LITERACY PROJECT
52-1844456,DR. LINDA LICHTER,VICE PRESIDENT,2004,GENETIC LITERACY PROJECT
52-1844456,DR. S. ROBERT LICHTER,PRESIDENT,2004,GENETIC LITERACY PROJECT
52-1844456,NEWT MINOW,DIRECTOR,2004,GENETIC LITERACY PROJECT
52-1844456,NELL MINOW,DIRECTOR,2004,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,2004,GENETIC LITERACY PROJECT
52-1844456,DR. PAUL MCCRACKEN,DIRECTOR,2004,GENETIC LITERACY PROJECT
52-1844456,DAVID GERGEN,DIRECTOR,2004,GENETIC LITERACY PROJECT
52-1844456,DR. LINDA LICHTER,VICE PRESIDENT,2003,GENETIC LITERACY PROJECT
52-1844456,DR. S. ROBERT LICHTER,PRESIDENT,2003,GENETIC LITERACY PROJECT
52-1844456,LINDA L. LADAS,SECRETARY/TREASURER,2003,GENETIC LITERACY PROJECT
52-1844456,NELL MINOW,DIRECTOR,2003,GENETIC LITERACY PROJECT
52-1844456,DAVID GERGEN,DIRECTOR,2003,GENETIC LITERACY PROJECT
52-1844456,NEWT MINOW,DIRECTOR,2003,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,2003,GENETIC LITERACY PROJECT
52-1844456,DR. PAUL MCCRACKEN,DIRECTOR,2003,GENETIC LITERACY PROJECT
52-1844456,Dr. S. Robert Lichter,President,2002,GENETIC LITERACY PROJECT
52-1844456,Dr. Linda Lichter,Vice President,2002,GENETIC LITERACY PROJECT
52-1844456,Linda L. Ladas,Secretary/Treasurer,2002,GENETIC LITERACY PROJECT
52-1844456,Paul Mongerson,Director,2002,GENETIC LITERACY PROJECT
52-1844456,Dr. Paul McCracken,Director,2002,GENETIC LITERACY PROJECT
52-1844456,"Robert D. Stuart, Jr.",Director,2002,GENETIC LITERACY PROJECT
52-1844456,Dr. Thomas C. Childers,Director,2002,GENETIC LITERACY PROJECT
52-1844456,S. ROBERT LICHTER,PRESIDENT,2001,GENETIC LITERACY PROJECT
52-1844456,CHRIS MESSINA-BOYER,DIRECTOR,2001,GENETIC LITERACY PROJECT
52-1844456,LINDA S. LICHTER,VICE PRESIDENT,2001,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,2001,GENETIC LITERACY PROJECT
52-1844456,THOMAS C. CHILDERS,DIRECTOR,2001,GENETIC LITERACY PROJECT
52-1844456,PAUL W. MCCRACKEN,DIRECTOR,2001,GENETIC LITERACY PROJECT
52-1844456,"ROBERT D. STUART, JR.",DIRECTOR,2001,GENETIC LITERACY PROJECT
52-1844456,S. ROBERT LICHTER,DIRECTOR,2000,GENETIC LITERACY PROJECT
52-1844456,CHRIS MESSINA-BOYER,DIRECTOR,2000,GENETIC LITERACY PROJECT
52-1844456,PAUL W. MCCRACKEN,DIRECTOR,2000,GENETIC LITERACY PROJECT
52-1844456,THOMAS C. CHILDERS,DIRECTOR,2000,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,2000,GENETIC LITERACY PROJECT
52-1844456,"ROBERT D. STUART, JR.",DIRECTOR,2000,GENETIC LITERACY PROJECT
52-1844456,S. ROBERT LICHTER,DIRECTOR,1999,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,1999,GENETIC LITERACY PROJECT
52-1844456,PAUL W. MCCRACKEN,DIRECTOR,1999,GENETIC LITERACY PROJECT
52-1844456,"ROBERT D. STUART, JR.",DIRECTOR,1999,GENETIC LITERACY PROJECT
52-1844456,THOMAS C. CHILDERS,DIRECTOR,1999,GENETIC LITERACY PROJECT
52-1844456,S. ROBERT LICHTER,PRES; DIR,1998,GENETIC LITERACY PROJECT
52-1844456,S. ROBERT LICHTER,PRES; DIR,1998,GENETIC LITERACY PROJECT
52-1844456,ROBERT MULLIGAN,EXEC. DIR,1998,GENETIC LITERACY PROJECT
52-1844456,LINDA S. LICHTER,DIRECTOR,1998,GENETIC LITERACY PROJECT
76-0149778,THOMAS PYLE,PRESIDENT,2018,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2018,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,"SENIOR VICE PRESIDENT, SEC/TREASURER",2018,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,CHAIRMAN,2018,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JAMES CLARKSON,DIRECTOR,2018,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2018,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2018,INSTITUTE FOR ENERGY RESEARCH
76-0149778,TRENT SEBITS,DIRECTOR,2018,INSTITUTE FOR ENERGY RESEARCH
76-0149778,THOMAS PYLE,PRESIDENT,2017,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2017,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,SEC/TREASURER/SVP DEVELOP,2017,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JIM CLARKSON,DIRECTOR,2017,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2017,INSTITUTE FOR ENERGY RESEARCH
76-0149778,TRENT SEBITS,DIRECTOR,2017,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,CHAIRMAN,2017,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2017,INSTITUTE FOR ENERGY RESEARCH
76-0149778,RICHARD STROUP,DIRECTOR,2017,INSTITUTE FOR ENERGY RESEARCH
76-0149778,THOMAS PYLE,PRESIDENT,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,SEC/TREASURER/SVP DEVELOP.,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,DANIEL KISH,SVP PUBLIC POLICY,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JIM CLARKSON,DIRECTOR,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,TRENT SEBITS,DIRECTOR,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,CHAIRMAN,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT L. TESTWUIDE III,DIRECTOR,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,RICHARD STROUP,DIRECTOR,2016,INSTITUTE FOR ENERGY RESEARCH
76-0149778,THOMAS PYLE,PRESIDENT,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,SEC/TREASURER/SVP DEVELOP.,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,DANIEL KISH,SVP PUBLIC POLICY,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JIM CLARKSON,DIRECTOR,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,TRENT SEBITS,DIRECTOR,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,CHAIRMAN,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT L. TESTWUIDE III,DIRECTOR,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,RICHARD STROUP,DIRECTOR,2015,INSTITUTE FOR ENERGY RESEARCH
76-0149778,THOMAS PYLE,PRESIDENT,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,DANIEL KISH,SVP PUBLIC POLICY,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,SEC/TREASURER/SVP DEVELOP.,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JIM CLARKSON,DIRECTOR,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,TRENT SEBITS,DIRECTOR,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,CHAIRMAN,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT L. TESTWUIDE III,DIRECTOR,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,RICHARD STROUP,DIRECTOR,2014,INSTITUTE FOR ENERGY RESEARCH
76-0149778,THOMAS PYLE,PRESIDENT,2013,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2013,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,SEC/TREASURER/SVP DEVELOP.,2013,INSTITUTE FOR ENERGY RESEARCH
76-0149778,DANIEL KISH,SVP PUBLIC POLICY,2013,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JIM CLARKSON,DIRECTOR,2013,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2013,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,CHAIRMAN,2013,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2013,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT L. TESTWUIDE III,DIRECTOR,2013,INSTITUTE FOR ENERGY RESEARCH
76-0149778,RICHARD STROUP,DIRECTOR,2013,INSTITUTE FOR ENERGY RESEARCH
76-0149778,THOMAS PYLE,PRESIDENT,2012,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2012,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,SEC/TREASURER/SVP DEVELOP.,2012,INSTITUTE FOR ENERGY RESEARCH
76-0149778,DANIEL KISH,SVP PUBLIC POLICY,2012,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JIM CLARKSON,DIRECTOR,2012,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2012,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,CHAIRMAN,2012,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2012,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT L. TESTWUIDE III,DIRECTOR,2012,INSTITUTE FOR ENERGY RESEARCH
76-0149778,RICHARD STROUP,DIRECTOR,2012,INSTITUTE FOR ENERGY RESEARCH
76-0149778,THOMAS PYLE,PRESIDENT,2011,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2011,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,SEC/TREASURER/SVP DEVELOP.,2011,INSTITUTE FOR ENERGY RESEARCH
76-0149778,NANCY BRADLEY,SECRETARY,2011,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JIM CLARKSON,DIRECTOR,2011,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2011,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,CHAIRMAN,2011,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2011,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT L. TESTWUIDE III,DIRECTOR,2011,INSTITUTE FOR ENERGY RESEARCH
76-0149778,RICHARD STROUP,DIRECTOR,2011,INSTITUTE FOR ENERGY RESEARCH
76-0149778,THOMAS PYLE,PRESIDENT,2010,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2010,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,TREASURER/SVP DEVELOP.,2010,INSTITUTE FOR ENERGY RESEARCH
76-0149778,NANCY BRADLEY,SECRETARY,2010,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JIM CLARKSON,DIRECTOR,2010,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2010,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,DIRECTOR,2010,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2010,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT L. TESTWUIDE III,DIRECTOR,2010,INSTITUTE FOR ENERGY RESEARCH
76-0149778,RICHARD STROUP,DIRECTOR,2010,INSTITUTE FOR ENERGY RESEARCH
76-0149778,THOMAS PYLE,PRESIDENT,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,DANIEL KISH,SVP PUBLIC POLICY,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,TREASURER/SVP DEVELOP.,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,NANCY BRADLEY,SECRETARY,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JIM CLARKSON,DIRECTOR,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,DIRECTOR,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT L. TESTWUIDE III,DIRECTOR,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,RICHARD STROUP,DIRECTOR,2009,INSTITUTE FOR ENERGY RESEARCH
76-0149778,THOMAS PYLE,PRESDIENT,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT BRADLEY,CHIEF EXECUTIVE OFFICER,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,DANIEL KISH,SVP PUBLIC POLICY,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,LISA WALLACE,SVP DEVELOPMENT/TREASURE,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,NANCY BRADLEY,SECRETARY,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,JIM CLARKSON,DIRECTOR,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,STEVEN HAYWARD,DIRECTOR,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,PRESTON MARSHALL,DIRECTOR,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,WAYNE GABLE,DIRECTOR,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,ROBERT L. TESTWUIDE III,DIRECTOR,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,RICHARD STROUP,DIRECTOR,2008,INSTITUTE FOR ENERGY RESEARCH
76-0149778,"Robert L. Bradley, Jr.",President/Direc,2007,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Nancy C. Bradley,Sec/Treas/Dir,2007,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Thomas Tanton,Vice Pres/Dir,2007,INSTITUTE FOR ENERGY RESEARCH
76-0149778,"Howard Gano, Jr.",Director,2007,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Lawrence Smith,Director,2007,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Preston Marshall,Director,2007,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Douglas Wyatt,Director,2007,INSTITUTE FOR ENERGY RESEARCH
76-0149778,James H. Clarkson,Director,2007,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Steven Hayward,Director,2007,INSTITUTE FOR ENERGY RESEARCH
76-0149778,"Robert L. Bradley, Jr.",President/Director,2006,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Thomas Tanton,VP/Director,2006,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Nancy C. Bradley,Sec/Treas/Dir,2006,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Douglas Wyatt,Director,2006,INSTITUTE FOR ENERGY RESEARCH
76-0149778,James H. Clarkson,Director,2006,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Lawrence Russell Smith,Director,2006,INSTITUTE FOR ENERGY RESEARCH
76-0149778,"Howard Gano, Jr.",Director,2006,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Preston Marshall,Director,2006,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Steven Hayward,Director,2006,INSTITUTE FOR ENERGY RESEARCH
76-0149778,"Robert L. Bradley, Jr.",President/Dir.,2003,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Nancy C. Bradley,Sec/Treasurer,2003,INSTITUTE FOR ENERGY RESEARCH
76-0149778,William M. Yeatts,Director,2003,INSTITUTE FOR ENERGY RESEARCH
76-0149778,"Howard Gano, Jr.",Director,2003,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Douglas B. Wyatt,Director,2003,INSTITUTE FOR ENERGY RESEARCH
76-0149778,James L. Johnston,Director,2003,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Jim Clarkson,Director,2003,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Rusty Smith,Director,2003,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Steven Hayward,Director,2003,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Preston Marshall,Director,2003,INSTITUTE FOR ENERGY RESEARCH
76-0149778,"Robert L Bradley, Jr",President/Director,2002,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Nancy C Bradley,Secretary/Treasurer,2002,INSTITUTE FOR ENERGY RESEARCH
76-0149778,"Howard Gano, Jr",Director,2002,INSTITUTE FOR ENERGY RESEARCH
76-0149778,James L Johnston,Director,2002,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Jim Clarkson,Director,2002,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Rusty Smith,Director,2002,INSTITUTE FOR ENERGY RESEARCH
76-0149778,Preston Marshall,Director,2002,INSTITUTE FOR ENERGY RESEARCH
85-0267696,JOHN THOMAS,PRESIDENT,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RYAN DAVIS,N VICE-PRESI,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
