org,nonprofit_type,ein,sole_climate_energy,state,controlling_entity,ruling_year,address,ntee_code,naics_code,sic_code,guidestar_keywords,notes,substantive_focus,peripheral_focus,delay,denial,id,alliance_for_energy_&_economic_growth,alliance_to_save_energy,cooler_heads_coalition,spn
AMERICA INC,501(c)(4),273352652,False,VA,,1988.0,"1900 Campus Commons Drive Suite 600 / Reston, VA 20191 USA/                             Mr. Coley  Jackson                           /                                 Primary Contact Phone: (571) 267-3500                              / cjackson@mrc.org/ Vice President of Development/ https://www.mrc.org//                                 Main Office Phone: (571) 267-3500                              / 1900 Campus Commons Drive Suite 600 / Reston, VA 20191 / 1900 Campus Commons Drive Suite 600 / Reston, VA 20191 ",Research Institutes and/or Public Policy Analysis (A05)/ Research Institutes and/or Public Policy Analysis (Q05)/ Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Media Bias,  Brent Bozell,  Media Research,  Media Center,  Watchdog,  Family,  USA",,1,0,1,1,1157,0,0,0,0
ATLAS NETWORK,501(c)(3),942763845,False,VA,,1981.0,"4075 Wilson Blvd. Suite 310 Two Liberty Center / Arlington, VA 22203 USA/                             Mr. Bradley  Lips                           /                                 Primary Contact Phone: (202) 449-8449                              / brad.lips@atlasnetwork.org/ Chief Executive Officer/ www.AtlasNetwork.org/                                 Main Office Phone: (202) 449-8449                              / 1201 L Street NW 2nd Floor / Washington,  20005 / 4075 Wilson Blvd. Suite 310 Two Liberty Center / Arlington, VA 22203 ",Research Institutes and/or Public Policy Analysis (R05)/ Alliance/Advocacy Organizations (B01)/ Private Grantmaking Foundations (T20),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"liberty,  education,  policy,  free-market,  economic,  freedom,  think tank,  tolerance,  rule of law,  poverty",,1,0,1,1,2616,0,0,0,2
ATLAS SOCIETY,501(c)(3),133554791,False,TX,,2016.0,"22001 Northpark Dr #250  / Kingwood, TX 77339 USA/                             Ms. Carolyn  Gino                           /                                 Primary Contact Phone: (925) 399-2587                              / cgino@atlassociety.org/ COO/ http://www.atlassociety.org/                                 Main Office Phone: (833) 296-7263 Ext 2                              / 22001 Northpark Dr #250  / Kingwood, TX 77339 / 22001 NORTHPARK DR STE 250  / Kingwood, TX 77339 ","Humanities Organizations (A70)/ Civil Rights, Social Action, and Advocacy N.E.C. (R99)","71 Arts, Entertainment, and Recreation",,"ayn rand, liberty, individualism, reason, capitalism, happiness, objectivism, objectivist, john galt, achievement, benevolent self-interest, Hank Rearden, Dagny Taggart",,0,1,1,1,2607,0,0,0,0
AYN RAND INSTITUTE,501(c)(3),222570926,False,CA,,1987.0,"6 Hutton Centre Suite 600 / Santa Ana, CA 92707 USA/                             Mr. David  Gulbraa                           /                                 Primary Contact Phone: (949) 222-6550                              / dgulbraa@aynrand.org/ Donor Services Coordinator/ www.aynrand.org/                                 Main Office Phone: (949) 222-6550                              / 6 Hutton Centre Suite 600 / Santa Ana, CA 92707 / 6 Hutton Centre Suite 600 / Santa Ana, CA 92707 ",Unknown (Z99),,,"Ayn, Rand, free books, Fountainhead, Atlas Shrugged",,1,0,1,1,2944,0,0,0,0
BEACON HILL INSTITUTE FOR PUBLIC POLICY RESEARCH,501(c)(3),266265950,False,MA,,2008.0,"165 MAIN ST UNIT 306  / MEDWAY, MA 02053 USA/                             Dr. David  Tuerck                           /                                 Primary Contact Phone: (855) 244-4550                              / dtuerck@beaconhill.org/ President and Managing Trustee/ www.beaconhill.org/                                 Main Office Phone: (855) 244 Ext 4550                              / 165 MAIN ST UNIT 306  / MEDWAY, MA 02053 / 165 MAIN ST UNIT 306  / MEDWAY, MA 02053 ",Economics (as a Social Science) (V22),541720 Research and Development in the Social Sciences and Humanities,8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,"timely,  readable,  technically advanced",,1,0,1,1,3681,0,0,0,2
BROAD AND LIBERTY,501(c)(3),834513582,False,,,,,,,,,,0,1,1,0,3639,0,0,0,0
BUCKEYE INSTITUTE FOR PUBLIC POLICY SOLUTIONS THE,501(c)(3),311278593,False,KY,,2004.0,"P.O. Box 11706  / Lexington, KY 40577 USA/                             Ms. Kelly  Smith                           /                                 Primary Contact Phone: (859) 576-1920                              / ksmith@freedomkentucky.com/ Director of Development/ www.bipps.org/                                 Main Office Phone: (270) 320-4376                              / 192 N. Broadway  / Lexington, KY 40507 ",Research Institutes and/or Public Policy Analysis (A05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Liberty,  free markets,  prosperity,  Collaboration,  Transparency,  Kentucky,  Wiki,  Education,  Lousiville,  Government watch dog,  Responsibility,  Freedom,  Frankfort,  conservative,  school choice",,1,0,1,0,128,0,0,0,1
CAESAR RODNEY INSTITUTE,501(c)(3),262176691,False,DE,,2008.0,"420 Corporate Blvd  / Newark, DE 19702 / HTTP://WWW.CAESARRODNEY.ORG",Citizen Participation (W24),813410 Civic and Social Organizations,"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",,,1,0,1,0,323,0,0,0,1
CAPITAL RESEARCH CENTER,501(c)(3),521289734,False,DC,,1983.0,"1513 16th St NW  / Washington, DC 20036 / WWW.CAPITALRESEARCH.ORG",Philanthropy / Charity / Voluntarism Promotion (General) (T50),813219 Other Grantmaking and Giving Services,"8399 SOCIAL SERVICES, NEC",,,1,0,1,1,2742,0,0,0,2
CASCADE POLICY INSTITUTE,501(c)(3),931045925,False,OR,,1996.0,"4850 SW Scholls Ferry Road Suite 103 / Portland, OR 97225 USA/                             Mr. John  Charles                           /                                 Primary Contact Phone: (503) 2420900                              / info@CascadePolicy.org/ President & CEO/ http://cascadepolicy.org/                                 Main Office Phone: (503) 242-0900                              / 4850 SW Scholls Ferry Road Suite 103 / Portland, OR 97225 / 4850 SW Scholls Ferry Road Suite 103 / Portland, OR 97225 ",Research Institutes and/or Public Policy Analysis (B05),541720 Research and Development in the Social Sciences and Humanities,8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,"free-market,  limited government,  individual liberty,  personal responsibility,  economic opportunity,  freedom,  public policy",,1,0,1,1,2525,0,0,0,1
CATO INSTITUTE,501(c)(3),237432162,False,DC,,1975.0,"1000 Massachusetts Ave NW  / Washington, DC 20001 USA/                              Khristine  Brookes                           / kbrookes@cato.org/ Vice President of Communications/ www.cato.org/                                 Main Office Phone: (202) 842-0200                              / 1000 Massachusetts Ave NW  / Washington, DC 20001 / 1000 Massachusetts Ave NW  / Washington, DC 20001 ",Research Institutes and/or Public Policy Analysis (B05),541720 Research and Development in the Social Sciences and Humanities,8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,"liberty,  freedom,  civil rights,  constitution,  individual rights,  free speech,  liberties,  economic liberty,  libertarian,   school choice,  social security reform,  free trade,  free markets,  free enterprise,  limited government,  peace,  private property rights",,1,0,1,1,3175,0,0,0,2
CENTER FOR CONSUMER FREEDOM,501(c)(3),260006579,False,LE,,2002.0,"1090 Vermont Ave NW Ste 800  / Washington, DC 20005 / SEE SCHEDULE O",Civil Liberties Advocacy (R60),813311 Human Rights Organizations,"8399 SOCIAL SERVICES, NEC",,,0,1,1,0,3887,0,0,0,0
CENTER FOR FREEDOM AND PROSPERITY FOUNDATION,501(c)(3),542009193,False,VA,,2001.0,"PO Box 10882  / Alexandria, VA 22310 / www.freedomandprosperity.org",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,0,1,1,1,1156,0,0,0,0
CENTER FOR INDIVIDUAL FREEDOM,501(c)(4),541916980,False,VA,,1999.0,"1727 King St Ste 105  Alexandria VA 22314-2761/ Alexandria, VA 22314 / WWW.CFIF.ORG","Civil Rights, Social Action, and Advocacy N.E.C. (R99)",813311 Human Rights Organizations,"8399 Social Services, NEC",,,1,0,1,1,422,0,0,0,0
CENTER FOR LIQUEFIED NATURAL GAS,501(c)(6),261608721,True,DC,,2009.0,"1220 L St NW Fl 9  / Washington, DC 20005 / WWW.LNGFACTS.ORG",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,1118,0,0,0,0
CENTER FOR THE STUDY OF CARBON DIOXIDE AND GLOBAL CHANGE,501(c)(3),860902777,True,AZ,,1998.0,"5219 S Reseda St  / Gilbert, AZ 85298 / www.co2science.org",Hospitals and Primary Medical Care Facilities (E20),622110 General Medical and Surgical Hospitals,"8062 GENERAL MEDICAL AND SURGICAL HOSPITALS/ 8069 SPECIALTY HOSPITALS, EXCEPT PSYCHIATRIC",,,1,0,1,1,1633,0,0,0,0
CENTER OF THE AMERICAN EXPERIMENT,501(c)(3),363611426,False,MN,,1989.0,"8421 Wayzata Blvd Ste 110  Minneapolis MN 55426-1353/ Minneapolis, MN 55426 / www.americanexperiment.org",Other Youth Development N.E.C. (O99),624110 Child and Youth Services,8322 Individual and Family Services,,,1,0,1,1,1487,0,0,0,1
CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA,501(c)(6),530045720,False,DC,,1940.0,"1615 H St NW  Washington DC 20062-0001/ Washington, DC 20062 / www.uschamber.com",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,495,0,0,0,0
