org,ein
RICHARD AND BARBARA GABY FOUNDATION,20-2110682
ROBERT & ARDIS JAMES FOUNDATION INC,13-6880057
ROBERT AND ARDIS JAMES FOUNDATION INC,46-3298762
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,75-2542403
ALLEGHENY FOUNDATION,25-6012303
SORENSON LEGACY FOUNDATION,45-3240491
GROVER HERMANN FOUNDATION THE,36-6064489
KOVNER FOUNDATION THE,22-3468030
KRIEBLE FOUNDATION THE,06-1011349
MALONE FAMILY FOUNDATION THE,84-1408520
"MARCUS FOUNDATION, INC. THE",58-1815651
ROBERTS FOUNDATION THE,94-2967074
ROE FOUNDATION THE,23-7011541
WILLIAM H. DONNER FOUNDATION THE,23-1611346
"TRIAD FOUNDATION, INC.",30-0108102
TULLY AND ELISE FRIEDMAN FUND,94-3264446
WALTON FAMILY FOUNDATION,13-3441466
"WILLIAM E. SIMON FOUNDATION, INC.",13-6217788
"WILLIAM K. BOWES, JR. FOUNDATION",94-3148482
DUNN FOUNDATION THE,65-0415977
JOHN TEMPLETON FOUNDATION,62-1322826
SMITH RICHARDSON FOUNDATION,56-0611550
AMBROSE MONELL FOUNDATION,13-1982683
ACHELIS AND BODMAN FOUNDATION THE,13-6022018
BODMAN FOUNDATION THE,13-6022016
"LYNDE AND HARRY BRADLEY FOUNDATION, INC. THE",39-6037928
CLAWS FOUNDATION,20-1658710
DANIELS FUND,84-1393308
EWING MARION KAUFFMAN FOUNDATION,43-6064859
"GALASHIELS FUND, LTD",94-3059858
JEAN PERKINS FOUNDATION,33-0436485
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,23-7093598
JOHN WILLIAM POPE FOUNDATION,58-1691765
KORET FOUNDATION,94-1624987
M.J. MURDOCK CHARITABLE TRUST,23-7456468
PIERRE F. AND ENID GOODRICH FOUNDATION,35-6056960
PROMETHEUS FOUNDATION,27-1456655
"S.D. BECHTEL, JR. FOUNDATION",20-3759208
"SARAH SCAIFE FOUNDATION, INC.",25-1113452
SEARLE FREEDOM TRUST,36-7244615
HERBERT H. AND GRACE A. DOW FOUNDATION THE,38-1437485
STARR FOUNDATION THE,13-6151545
WILLIAM AND FLORA HEWLETT FOUNDATION THE,94-1655673
THOMAS W SMITH FOUNDATION INC,47-3862135
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",26-2588270
SUSQUEHANNA FOUNDATION,23-2732477
RICHARD SETH STALEY EDUCATIONAL FOUNDATION THE,95-3532336
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,53-0241211
