GRANTMAKER,RECIPIENT,YEAR,GRANTMAKER_PERSON,RECIPIENT_PERSON,Correct,combo,duplicate
PIERRE F. AND ENID GOODRICH FOUNDATION,LIBERTY FUND,2003,SANDRA J SCHALLER,SANDRA J SCHALLER,True,PIERRE F. AND ENID GOODRICH FOUNDATIONLIBERTY FUNDSANDRA J SCHALLERSANDRA J SCHALLER,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,INDEPENDENT INSTITUTE,2003,MARY L G THEROUX,MARY L G THEROUX,True,DAVID J.  MARY L. G. THEROUX FOUNDATIONINDEPENDENT INSTITUTEMARY L G THEROUXMARY L G THEROUX,False
MALONE FAMILY FOUNDATION The,CATO INSTITUTE,2003,JOHN C MALONE,JOHN C MALONE,True,MALONE FAMILY FOUNDATION TheCATO INSTITUTEJOHN C MALONEJOHN C MALONE,False
"COVENANT FOUNDATION, INC.",TEXAS PUBLIC POLICY FOUNDATION,2003,JAMES R LEININGER,JAMES R LEININGER,True,"COVENANT FOUNDATION, INC.TEXAS PUBLIC POLICY FOUNDATIONJAMES R LEININGERJAMES R LEININGER",False
SCAIFE FAMILY FOUNDATIONS,YOUNG AMERICA'S FOUNDATION,2003,KENNETH T CRIBB,KENNETH T CRIBB,True,SCAIFE FAMILY FOUNDATIONSYOUNG AMERICA'S FOUNDATIONKENNETH T CRIBBKENNETH T CRIBB,False
J. P. HUMPHREYS FOUNDATION,CATO INSTITUTE,2003,ETHELMAE C HUMPHREYS,ETHELMAE C HUMPHREYS,True,J. P. HUMPHREYS FOUNDATIONCATO INSTITUTEETHELMAE C HUMPHREYSETHELMAE C HUMPHREYS,False
E. L. CRAIG FOUNDATION,CATO INSTITUTE,2003,ETHELMAE C HUMPHREYS,ETHELMAE C HUMPHREYS,True,E. L. CRAIG FOUNDATIONCATO INSTITUTEETHELMAE C HUMPHREYSETHELMAE C HUMPHREYS,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,INDEPENDENT INSTITUTE,2003,DAVID  THEROUX,DAVID J THEROUX,True,DAVID J.  MARY L. G. THEROUX FOUNDATIONINDEPENDENT INSTITUTEDAVID  THEROUXDAVID J THEROUX,False
ROE FOUNDATION The,HERITAGE FOUNDATION,2003,EDWIN J FEULNER,EDWIN J FEULNER,True,ROE FOUNDATION TheHERITAGE FOUNDATIONEDWIN J FEULNEREDWIN J FEULNER,False
ROE FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,2003,EDWIN J FEULNER,EDWIN J FEULNER,True,ROE FOUNDATION TheACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTYEDWIN J FEULNEREDWIN J FEULNER,False
SCAIFE FAMILY FOUNDATIONS,HERITAGE FOUNDATION,2003,EDWIN J FEULNER,EDWIN J FEULNER,True,SCAIFE FAMILY FOUNDATIONSHERITAGE FOUNDATIONEDWIN J FEULNEREDWIN J FEULNER,False
SCAIFE FAMILY FOUNDATIONS,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,2003,EDWIN J FEULNER,EDWIN J FEULNER,True,SCAIFE FAMILY FOUNDATIONSACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTYEDWIN J FEULNEREDWIN J FEULNER,False
WILLIAM H. DONNER FOUNDATION The,NATIONAL TAXPAYERS UNION,2003,CURTIN  WINSOR,CURTIN  WINSOR,True,WILLIAM H. DONNER FOUNDATION TheNATIONAL TAXPAYERS UNIONCURTIN  WINSORCURTIN  WINSOR,False
WILLIAM H. DONNER FOUNDATION The,NATIONAL TAXPAYERS UNION FOUNDATION,2003,CURTIN  WINSOR,CURTIN  WINSOR,True,WILLIAM H. DONNER FOUNDATION TheNATIONAL TAXPAYERS UNION FOUNDATIONCURTIN  WINSORCURTIN  WINSOR,False
WILLIAM H. DONNER FOUNDATION The,MEDIA RESEARCH CENTER,2003,CURTIN  WINSOR,CURTIN  WINSOR,True,WILLIAM H. DONNER FOUNDATION TheMEDIA RESEARCH CENTERCURTIN  WINSORCURTIN  WINSOR,False
WILLIAM H. DONNER FOUNDATION The,HUDSON INSTITUTE,2003,CURTIN  WINSOR,CURTIN  WINSOR,True,WILLIAM H. DONNER FOUNDATION TheHUDSON INSTITUTECURTIN  WINSORCURTIN  WINSOR,False
WILLIAM H. DONNER FOUNDATION The,ATLAS NETWORK,2003,CURTIN  WINSOR,CURTIN  WINSOR,True,WILLIAM H. DONNER FOUNDATION TheATLAS NETWORKCURTIN  WINSORCURTIN  WINSOR,False
"COVENANT FOUNDATION, INC.",TEXAS PUBLIC POLICY FOUNDATION,2003,THOMAS W LYLES,THOMAS W LYLES,True,"COVENANT FOUNDATION, INC.TEXAS PUBLIC POLICY FOUNDATIONTHOMAS W LYLESTHOMAS W LYLES",False
SUSQUEHANNA FOUNDATION,CATO INSTITUTE,2003,JEFFREY  YASS,JEFF  YASS,True,SUSQUEHANNA FOUNDATIONCATO INSTITUTEJEFFREY  YASSJEFF  YASS,False
DONORS TRUST & DONORS CAPITAL FUND,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,2003,CHRISTOPHER  DEMUTH,CHRISTOPHER  DEMUTH,True,DONORS TRUST & DONORS CAPITAL FUNDAMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCHCHRISTOPHER  DEMUTHCHRISTOPHER  DEMUTH,False
SMITH RICHARDSON FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,2003,CHRISTOPHER  DEMUTH,CHRISTOPHER  DEMUTH,True,SMITH RICHARDSON FOUNDATIONAMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCHCHRISTOPHER  DEMUTHCHRISTOPHER  DEMUTH,False
SEARLE FREEDOM TRUST,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,2003,CHRISTOPHER C DEMUTH,CHRISTOPHER  DEMUTH,True,SEARLE FREEDOM TRUSTAMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCHCHRISTOPHER C DEMUTHCHRISTOPHER  DEMUTH,False
"LILLIAN S. WELLS FOUNDATION, INC.",CAPITAL RESEARCH CENTER,2003,BARBARA W KENNEY,BARBARA W KENNEY,True,"LILLIAN S. WELLS FOUNDATION, INC.CAPITAL RESEARCH CENTERBARBARA W KENNEYBARBARA W KENNEY",False
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,CITIZENS AGAINST GOVERNMENT WASTE,2003,JACK R ANDERSON,JACK  ANDERSON,True,ROSE-MARIE AND JACK R. ANDERSON FOUNDATIONCITIZENS AGAINST GOVERNMENT WASTEJACK R ANDERSONJACK  ANDERSON,False
DONORS TRUST & DONORS CAPITAL FUND,INSTITUTE FOR ENERGY RESEARCH,2003,STEVEN  HAYWARD,STEVEN  HAYWARD,True,DONORS TRUST & DONORS CAPITAL FUNDINSTITUTE FOR ENERGY RESEARCHSTEVEN  HAYWARDSTEVEN  HAYWARD,False
DONORS TRUST & DONORS CAPITAL FUND,PROPERTY AND ENVIRONMENT RESEARCH CENTER,2003,STEVEN  HAYWARD,STEVEN  HAYWARD,True,DONORS TRUST & DONORS CAPITAL FUNDPROPERTY AND ENVIRONMENT RESEARCH CENTERSTEVEN  HAYWARDSTEVEN  HAYWARD,False
TULLY AND ELISE FRIEDMAN FUND,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,2003,TULLY M FRIEDMAN,TULLY M FRIEDMAN,True,TULLY AND ELISE FRIEDMAN FUNDAMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCHTULLY M FRIEDMANTULLY M FRIEDMAN,False
ROE FOUNDATION The,STATE POLICY NETWORK,2003,BRYAN S LAMM,BYRON S LAMM,True,ROE FOUNDATION TheSTATE POLICY NETWORKBRYAN S LAMMBYRON S LAMM,False
PIERRE F. AND ENID GOODRICH FOUNDATION,LIBERTY FUND,2003,RICHARD W DUESENBERG,RICHARD W DUESENBERG,True,PIERRE F. AND ENID GOODRICH FOUNDATIONLIBERTY FUNDRICHARD W DUESENBERGRICHARD W DUESENBERG,False
PIERRE F. AND ENID GOODRICH FOUNDATION,FOUNDATION FOR ECONOMIC EDUCATION,2003,MANUEL F AYAU,MANUEL F AYAU,True,PIERRE F. AND ENID GOODRICH FOUNDATIONFOUNDATION FOR ECONOMIC EDUCATIONMANUEL F AYAUMANUEL F AYAU,False
PIERRE F. AND ENID GOODRICH FOUNDATION,LIBERTY FUND,2003,MANUEL F AYAU,MANUEL F AYAU,True,PIERRE F. AND ENID GOODRICH FOUNDATIONLIBERTY FUNDMANUEL F AYAUMANUEL F AYAU,False
PIERRE F. AND ENID GOODRICH FOUNDATION,LIBERTY FUND,2003,GEORGE B MARTIN,GEORGE B MARTIN,True,PIERRE F. AND ENID GOODRICH FOUNDATIONLIBERTY FUNDGEORGE B MARTINGEORGE B MARTIN,False
CHASE FOUNDATION OF VIRGINIA,AMERICANS FOR PROSPERITY,2003,WALTER E WILLIAMS,WALTER  WILLIAMS,True,CHASE FOUNDATION OF VIRGINIAAMERICANS FOR PROSPERITYWALTER E WILLIAMSWALTER  WILLIAMS,False
CHASE FOUNDATION OF VIRGINIA,FREE TO CHOOSE NETWORK,2003,WALTER E WILLIAMS,WALTER  WILLIAMS,True,CHASE FOUNDATION OF VIRGINIAFREE TO CHOOSE NETWORKWALTER E WILLIAMSWALTER  WILLIAMS,False
THOMAS W SMITH FOUNDATION INC,MANHATTAN INSTITUTE FOR POLICY RESEARCH,2003,JAMES  PIERESON,JAMES  PIERESON,True,THOMAS W SMITH FOUNDATION INCMANHATTAN INSTITUTE FOR POLICY RESEARCHJAMES  PIERESONJAMES  PIERESON,False
THOMAS W SMITH FOUNDATION INC,AMERICAN SPECTATOR FOUNDATION,2003,JAMES  PIERESON,JAMES  PIERESON,True,THOMAS W SMITH FOUNDATION INCAMERICAN SPECTATOR FOUNDATIONJAMES  PIERESONJAMES  PIERESON,False
DONORS TRUST & DONORS CAPITAL FUND,MANHATTAN INSTITUTE FOR POLICY RESEARCH,2003,JAMES  PIERESON,JAMES  PIERESON,True,DONORS TRUST & DONORS CAPITAL FUNDMANHATTAN INSTITUTE FOR POLICY RESEARCHJAMES  PIERESONJAMES  PIERESON,False
DONORS TRUST & DONORS CAPITAL FUND,AMERICAN SPECTATOR FOUNDATION,2003,JAMES  PIERESON,JAMES  PIERESON,True,DONORS TRUST & DONORS CAPITAL FUNDAMERICAN SPECTATOR FOUNDATIONJAMES  PIERESONJAMES  PIERESON,False
SEARLE FREEDOM TRUST,MANHATTAN INSTITUTE FOR POLICY RESEARCH,2003,JAMES  PIERESON,JAMES  PIERESON,True,SEARLE FREEDOM TRUSTMANHATTAN INSTITUTE FOR POLICY RESEARCHJAMES  PIERESONJAMES  PIERESON,False
SEARLE FREEDOM TRUST,AMERICAN SPECTATOR FOUNDATION,2003,JAMES  PIERESON,JAMES  PIERESON,True,SEARLE FREEDOM TRUSTAMERICAN SPECTATOR FOUNDATIONJAMES  PIERESONJAMES  PIERESON,False
"WILLIAM E. SIMON FOUNDATION, INC.",MANHATTAN INSTITUTE FOR POLICY RESEARCH,2003,JAMES  PIERESON,JAMES  PIERESON,True,"WILLIAM E. SIMON FOUNDATION, INC.MANHATTAN INSTITUTE FOR POLICY RESEARCHJAMES  PIERESONJAMES  PIERESON",False
"WILLIAM E. SIMON FOUNDATION, INC.",AMERICAN SPECTATOR FOUNDATION,2003,JAMES  PIERESON,JAMES  PIERESON,True,"WILLIAM E. SIMON FOUNDATION, INC.AMERICAN SPECTATOR FOUNDATIONJAMES  PIERESONJAMES  PIERESON",False
PIERRE F. AND ENID GOODRICH FOUNDATION,LIBERTY FUND,2003,EMILIO J PACHECO,EMILIO J PACHECO,True,PIERRE F. AND ENID GOODRICH FOUNDATIONLIBERTY FUNDEMILIO J PACHECOEMILIO J PACHECO,False
PIERRE F. AND ENID GOODRICH FOUNDATION,LIBERTY FUND,2003,CHRIS L TALLEY,CHRIS L TALLEY,True,PIERRE F. AND ENID GOODRICH FOUNDATIONLIBERTY FUNDCHRIS L TALLEYCHRIS L TALLEY,False
"LILLIAN S. WELLS FOUNDATION, INC.",CAPITAL RESEARCH CENTER,2003,MARION G WELLS,MARION G WELLS,True,"LILLIAN S. WELLS FOUNDATION, INC.CAPITAL RESEARCH CENTERMARION G WELLSMARION G WELLS",False
PIERRE F. AND ENID GOODRICH FOUNDATION,LIBERTY FUND,2003,JO ANNE W SHEPLER,JO ANNE W SHEPLER,True,PIERRE F. AND ENID GOODRICH FOUNDATIONLIBERTY FUNDJO ANNE W SHEPLERJO ANNE W SHEPLER,False
DONORS TRUST & DONORS CAPITAL FUND,INDEPENDENT INSTITUTE,2003,BRUCE H JACOBS,BRUCE  JACOBS,True,DONORS TRUST & DONORS CAPITAL FUNDINDEPENDENT INSTITUTEBRUCE H JACOBSBRUCE  JACOBS,False
KOVNER FOUNDATION The,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,2003,BRUCE S KOVNER,BRUCE  KOVNER,True,KOVNER FOUNDATION TheAMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCHBRUCE S KOVNERBRUCE  KOVNER,False
KOVNER FOUNDATION The,MANHATTAN INSTITUTE FOR POLICY RESEARCH,2003,BRUCE S KOVNER,BRUCE  KOVNER,True,KOVNER FOUNDATION TheMANHATTAN INSTITUTE FOR POLICY RESEARCHBRUCE S KOVNERBRUCE  KOVNER,False
CHARLES KOCH INSTITUTE AND FOUNDATION,MERCATUS CENTER GEORGE MASON UNIVERSITY,2003,KEVIN L GENTRY,KEVIN  GENTRY,True,CHARLES KOCH INSTITUTE AND FOUNDATIONMERCATUS CENTER GEORGE MASON UNIVERSITYKEVIN L GENTRYKEVIN  GENTRY,False
CHARLES KOCH INSTITUTE AND FOUNDATION,CATO INSTITUTE,2003,KEVIN L GENTRY,KEVIN  GENTRY,True,CHARLES KOCH INSTITUTE AND FOUNDATIONCATO INSTITUTEKEVIN L GENTRYKEVIN  GENTRY,False
PIERRE F. AND ENID GOODRICH FOUNDATION,LIBERTY FUND,2003,IRWIN H REISS,IRWIN H REISS,True,PIERRE F. AND ENID GOODRICH FOUNDATIONLIBERTY FUNDIRWIN H REISSIRWIN H REISS,False
"NOBLE RESEARCH INSTITUTE, LLC",OKLAHOMA COUNCIL OF PUBLIC AFFAIRS,2003,WILLIAM G THURMAN,WILLIAM G THURMAN,True,"NOBLE RESEARCH INSTITUTE, LLCOKLAHOMA COUNCIL OF PUBLIC AFFAIRSWILLIAM G THURMANWILLIAM G THURMAN",False
DONORS TRUST & DONORS CAPITAL FUND,FOUNDATION FOR RESEARCH ON ECONOMICS AND THE ENVIRONMENT,2004,JOHN VON KANNON,JOHN A  VON KANNON,True,DONORS TRUST & DONORS CAPITAL FUNDFOUNDATION FOR RESEARCH ON ECONOMICS AND THE ENVIRONMENTJOHN VON KANNONJOHN A  VON KANNON,True
DUNN FOUNDATION THE,PROPERTY AND ENVIRONMENT RESEARCH CENTER,2004,WILLIAM A DUNN,WILLIAM  DUNN,True,DUNN FOUNDATION THEPROPERTY AND ENVIRONMENT RESEARCH CENTERWILLIAM A DUNNWILLIAM  DUNN,True
DUNN FOUNDATION THE,FOUNDATION FOR ECONOMIC EDUCATION,2004,WILLIAM A DUNN,WILLIAM  DUNN,True,DUNN FOUNDATION THEFOUNDATION FOR ECONOMIC EDUCATIONWILLIAM A DUNNWILLIAM  DUNN,True
DUNN FOUNDATION THE,CATO INSTITUTE,2004,WILLIAM A DUNN,WILLIAM  DUNN,True,DUNN FOUNDATION THECATO INSTITUTEWILLIAM A DUNNWILLIAM  DUNN,True
DUNN FOUNDATION THE,COMPETITIVE ENTERPRISE INSTITUTE,2004,WILLIAM A DUNN,WILLIAM  DUNN,True,DUNN FOUNDATION THECOMPETITIVE ENTERPRISE INSTITUTEWILLIAM A DUNNWILLIAM  DUNN,True
DUNN FOUNDATION THE,COMPETITIVE ENTERPRISE INSTITUTE,2004,WILLIAM A DUNN,WILIAM  DUNN,True,DUNN FOUNDATION THECOMPETITIVE ENTERPRISE INSTITUTEWILLIAM A DUNNWILIAM  DUNN,False
DONORS TRUST & DONORS CAPITAL FUND,FOUNDATION FOR ECONOMIC EDUCATION,2004,KRIS ALAN MAURE,KRIS A MAUREN,True,DONORS TRUST & DONORS CAPITAL FUNDFOUNDATION FOR ECONOMIC EDUCATIONKRIS ALAN MAUREKRIS A MAUREN,False
DONORS TRUST & DONORS CAPITAL FUND,PROPERTY AND ENVIRONMENT RESEARCH CENTER,2004,KIMBERLY O DENNIS,KIMBERLY  DENNIS,True,DONORS TRUST & DONORS CAPITAL FUNDPROPERTY AND ENVIRONMENT RESEARCH CENTERKIMBERLY O DENNISKIMBERLY  DENNIS,False
DONORS TRUST & DONORS CAPITAL FUND,INDEPENDENT WOMEN'S FORUM,2004,KIMBERLY O DENNIS,KIMBERLY  DENNIS,True,DONORS TRUST & DONORS CAPITAL FUNDINDEPENDENT WOMEN'S FORUMKIMBERLY O DENNISKIMBERLY  DENNIS,False
SEARLE FREEDOM TRUST,PROPERTY AND ENVIRONMENT RESEARCH CENTER,2004,KIMBERLY O DENNIS,KIMBERLY  DENNIS,True,SEARLE FREEDOM TRUSTPROPERTY AND ENVIRONMENT RESEARCH CENTERKIMBERLY O DENNISKIMBERLY  DENNIS,False
